time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2024-03-01 00:00:00+00:00,2.31,1.2,252.0,275.0,,,,,-7.3,-5.4,954.7,953.9,,
2024-03-01 01:00:00+00:00,2.57,1.41,257.0,278.0,,,,,-7.2,-5.6,955.3,954.3,,
2024-03-01 02:00:00+00:00,2.43,1.7,261.0,273.0,,,,,-6.5,-6.0,956.0,954.9,,
2024-03-01 03:00:00+00:00,2.21,1.8,265.0,270.0,,,,,-5.2,-5.5,956.6,955.3,,
2024-03-01 04:00:00+00:00,2.0,1.4,270.0,274.0,,,,,-3.0,-3.3,956.9,955.6,,
2024-03-01 05:00:00+00:00,1.81,0.82,276.0,284.0,,,,,-0.3,-0.2,956.9,955.8,,
2024-03-01 06:00:00+00:00,1.65,0.5,284.0,323.0,,,,,2.0,2.5,956.6,955.6,,
2024-03-01 07:00:00+00:00,1.39,0.63,291.0,18.0,,,,,3.7,4.5,955.8,954.8,,
2024-03-01 08:00:00+00:00,1.17,1.06,301.0,41.0,,,,,4.8,6.0,954.8,953.6,,
2024-03-01 09:00:00+00:00,1.25,1.0,299.0,37.0,,,,,5.2,6.4,953.8,952.8,,
2024-03-01 10:00:00+00:00,1.87,0.78,286.0,320.0,,,,,4.3,5.1,953.2,952.6,,
2024-03-01 11:00:00+00:00,2.92,2.21,276.0,275.0,,,,,2.5,2.8,952.7,952.7,,
2024-03-01 12:00:00+00:00,3.5,3.31,270.0,267.0,,,,,0.8,0.7,952.4,952.7,,
2024-03-01 13:00:00+00:00,3.37,3.28,258.0,258.0,,,,,-0.7,-0.7,952.1,952.2,,
2024-03-01 14:00:00+00:00,3.14,2.91,239.0,243.0,,,,,-2.3,-1.9,952.0,951.7,,
2024-03-01 15:00:00+00:00,3.11,2.72,228.0,234.0,,,,,-3.4,-2.8,951.9,951.3,,
2024-03-01 16:00:00+00:00,2.98,2.66,230.0,236.0,,,,,-4.0,-3.4,952.0,951.2,,
2024-03-01 17:00:00+00:00,2.87,2.73,241.0,246.0,,,,,-4.2,-3.6,952.2,951.3,,
2024-03-01 18:00:00+00:00,2.85,2.82,252.0,253.0,,,,,-4.3,-3.8,952.4,951.6,69.0,
2024-03-01 19:00:00+00:00,2.98,3.01,256.0,255.0,,,,,-4.4,-3.9,952.5,951.9,71.0,
2024-03-01 20:00:00+00:00,3.16,3.32,259.0,254.0,,,,,-4.5,-3.9,952.7,952.3,75.0,
2024-03-01 21:00:00+00:00,3.13,3.42,263.0,255.0,,,,,-4.6,-4.0,952.7,952.6,77.0,
2024-03-01 22:00:00+00:00,2.8,3.18,268.0,257.0,,,,,-4.8,-4.7,952.1,952.4,78.0,
2024-03-01 23:00:00+00:00,2.41,2.73,275.0,262.0,,,,,-5.1,-5.6,951.3,952.2,78.0,
2024-03-02 00:00:00+00:00,2.24,2.51,280.0,265.0,,,,,-5.2,-6.1,950.9,952.0,78.0,
2024-03-02 01:00:00+00:00,2.53,2.5,279.0,270.0,,,,,-4.9,-5.8,951.6,952.5,78.0,
2024-03-02 02:00:00+00:00,3.01,2.6,274.0,272.0,,,,,-4.5,-4.9,952.7,953.3,77.0,
2024-03-02 03:00:00+00:00,3.6,3.0,268.0,270.0,,,,,-3.6,-3.8,953.6,953.7,74.0,
2024-03-02 04:00:00+00:00,4.14,3.72,262.0,264.0,,,,,-2.1,-2.0,953.8,953.7,66.0,
2024-03-02 05:00:00+00:00,4.75,4.59,255.0,259.0,,,,,-0.3,0.1,953.6,953.5,57.0,
2024-03-02 06:00:00+00:00,5.32,5.55,254.0,256.0,,,,,1.2,1.8,953.2,953.1,49.0,
2024-03-02 07:00:00+00:00,5.85,6.45,257.0,257.0,,,,,2.1,2.8,952.6,952.7,45.0,
2024-03-02 08:00:00+00:00,6.46,7.32,262.0,260.0,,,,,2.7,3.2,951.9,952.1,44.0,
2024-03-02 09:00:00+00:00,6.74,7.81,264.0,260.0,,,,,2.8,3.3,951.3,951.8,44.0,
2024-03-02 10:00:00+00:00,6.58,7.81,261.0,260.0,,,,,2.6,2.8,951.0,951.5,46.0,
2024-03-02 11:00:00+00:00,6.26,7.43,257.0,259.0,,,,,1.9,1.8,950.7,951.3,49.0,
2024-03-02 12:00:00+00:00,5.91,7.18,251.0,257.0,,,,,1.2,0.9,950.6,951.3,53.0,
2024-03-02 13:00:00+00:00,5.82,7.16,246.0,255.0,,,,,0.2,0.0,950.7,951.5,57.0,
2024-03-02 14:00:00+00:00,5.73,7.37,241.0,252.0,,,,,-0.8,-0.8,950.8,951.9,61.0,
2024-03-02 15:00:00+00:00,5.58,7.5,237.0,249.0,,,,,-1.7,-1.5,951.1,952.2,64.0,
2024-03-02 16:00:00+00:00,5.3,7.58,238.0,247.0,,,,,-2.2,-2.1,951.4,952.5,65.0,
2024-03-02 17:00:00+00:00,4.96,7.66,242.0,246.0,,,,,-2.6,-2.6,951.8,952.7,65.0,
2024-03-02 18:00:00+00:00,4.74,7.7,245.0,245.0,,,,,-2.8,-3.0,952.0,952.8,65.0,
2024-03-02 19:00:00+00:00,4.7,7.7,243.0,245.0,,,,,-2.7,-3.4,952.1,952.7,64.0,
2024-03-02 20:00:00+00:00,4.7,7.66,241.0,246.0,,,,,-2.5,-3.7,952.1,952.5,63.0,
2024-03-02 21:00:00+00:00,4.8,7.62,239.0,247.0,,,,,-2.4,-4.0,952.0,952.4,62.0,
2024-03-02 22:00:00+00:00,4.99,7.35,237.0,248.0,,,,,-2.4,-4.2,952.0,952.2,63.0,
2024-03-02 23:00:00+00:00,5.3,7.06,238.0,249.0,,,,,-2.4,-4.3,952.1,952.1,65.0,
2024-03-03 00:00:00+00:00,5.52,6.93,238.0,250.0,,,,,-2.4,-4.4,952.3,952.2,66.0,75.0
2024-03-03 01:00:00+00:00,5.61,7.06,239.0,249.0,,,,,-2.4,-4.5,952.8,952.7,66.0,77.0
2024-03-03 02:00:00+00:00,5.69,7.35,239.0,248.0,,,,,-2.5,-4.5,953.5,953.5,65.0,79.0
2024-03-03 03:00:00+00:00,5.91,7.58,242.0,247.0,,,,,-2.2,-4.2,954.2,954.2,63.0,78.0
2024-03-03 04:00:00+00:00,6.49,7.78,245.0,250.0,,,,,-1.5,-3.2,954.9,954.8,59.0,72.0
2024-03-03 05:00:00+00:00,7.15,8.07,250.0,253.0,,,,,-0.5,-1.9,955.6,955.3,54.0,63.0
2024-03-03 06:00:00+00:00,7.75,8.34,253.0,256.0,,,,,0.2,-0.8,956.0,955.7,50.0,55.0
2024-03-03 07:00:00+00:00,8.1,8.65,254.0,259.0,,,,,0.3,-0.1,956.1,955.7,48.0,50.0
2024-03-03 08:00:00+00:00,8.17,8.88,255.0,262.0,,,,,0.2,0.3,956.0,955.7,47.0,47.0
2024-03-03 09:00:00+00:00,8.15,8.86,256.0,264.0,,,,,-0.1,0.5,956.1,955.7,47.0,46.0
2024-03-03 10:00:00+00:00,7.89,8.36,258.0,263.0,,,,,-0.4,0.2,956.5,955.9,49.0,47.0
2024-03-03 11:00:00+00:00,7.32,7.58,260.0,262.0,,,,,-0.8,-0.4,957.1,956.2,52.0,50.0
