time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,wind_gusts_10m@pd2,wind_gusts_10m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2025-04-01 00:00:00+00:00,1.73,1.4,100.0,90.0,3.63,3.87,88.0,81.0,2.9,2.9,7.1,6.6,955.0,954.8,72.0,75.0
2025-04-01 01:00:00+00:00,1.87,1.12,106.0,100.0,4.02,3.58,89.0,81.0,3.3,2.7,6.9,6.5,954.7,954.9,70.0,74.0
2025-04-01 02:00:00+00:00,1.8,0.78,90.0,130.0,4.24,2.33,83.0,75.0,3.3,2.2,7.7,7.2,954.5,955.2,66.0,72.0
2025-04-01 03:00:00+00:00,2.15,3.03,68.0,98.0,4.42,5.69,77.0,87.0,3.7,5.3,9.3,8.9,954.6,954.7,62.0,64.0
2025-04-01 04:00:00+00:00,3.35,4.02,63.0,84.0,4.37,7.15,70.0,92.0,5.6,7.6,11.2,11.4,954.9,953.9,53.0,49.0
2025-04-01 05:00:00+00:00,4.07,3.97,62.0,56.0,4.52,4.73,66.0,63.0,6.4,7.0,12.7,13.3,954.6,953.5,48.0,44.0
2025-04-01 06:00:00+00:00,5.27,5.85,57.0,70.0,5.75,6.76,60.0,73.0,8.6,9.5,14.9,14.4,954.4,954.3,39.0,42.0
2025-04-01 07:00:00+00:00,4.3,5.15,59.0,66.0,4.65,5.77,62.0,69.0,8.4,9.5,15.4,15.7,954.0,953.8,38.0,38.0
2025-04-01 08:00:00+00:00,2.76,4.57,46.0,61.0,2.92,5.0,50.0,64.0,6.7,8.5,16.3,16.3,953.8,953.3,35.0,36.0
2025-04-01 09:00:00+00:00,0.95,2.97,342.0,57.0,0.96,3.16,336.0,60.0,5.0,7.4,17.0,16.6,953.1,952.9,31.0,34.0
2025-04-01 10:00:00+00:00,4.67,0.9,280.0,360.0,5.15,0.88,279.0,360.0,7.4,4.8,17.2,16.9,953.0,952.8,28.0,32.0
2025-04-01 11:00:00+00:00,7.98,3.71,278.0,275.0,9.8,4.23,278.0,275.0,12.7,6.1,16.2,16.8,953.7,953.0,31.0,31.0
2025-04-01 12:00:00+00:00,5.8,7.6,285.0,271.0,7.11,9.9,285.0,271.0,8.9,12.1,16.7,14.6,954.2,953.7,24.0,39.0
2025-04-01 13:00:00+00:00,5.8,6.02,272.0,281.0,8.36,9.1,275.0,284.0,9.7,12.1,14.8,13.0,954.6,954.4,34.0,49.0
2025-04-01 14:00:00+00:00,4.55,5.12,251.0,266.0,7.94,7.64,268.0,271.0,8.8,10.0,13.5,10.9,955.1,955.5,37.0,61.0
2025-04-01 15:00:00+00:00,5.34,5.05,257.0,236.0,9.03,8.34,267.0,250.0,8.3,8.4,12.3,9.7,955.8,956.2,51.0,74.0
2025-04-01 16:00:00+00:00,5.77,6.02,256.0,222.0,8.76,9.46,264.0,236.0,9.1,10.0,10.7,9.4,956.9,956.2,68.0,76.0
2025-04-01 17:00:00+00:00,6.11,7.34,230.0,232.0,9.16,10.97,243.0,240.0,9.2,11.6,9.7,8.9,957.4,956.6,71.0,75.0
2025-04-01 18:00:00+00:00,6.46,6.35,235.0,237.0,10.54,10.74,247.0,246.0,10.1,11.6,10.2,9.6,956.7,955.6,57.0,53.0
2025-04-01 19:00:00+00:00,6.55,5.6,236.0,235.0,10.83,10.33,249.0,248.0,10.2,9.7,9.7,9.4,956.8,955.7,54.0,54.0
2025-04-01 20:00:00+00:00,6.11,5.42,238.0,240.0,10.57,9.98,251.0,250.0,10.0,8.6,9.1,9.2,956.9,955.7,53.0,55.0
2025-04-01 21:00:00+00:00,5.44,4.8,234.0,239.0,9.46,9.29,249.0,252.0,9.7,8.3,8.5,8.8,956.9,955.8,55.0,60.0
2025-04-01 22:00:00+00:00,4.74,4.66,228.0,235.0,8.63,8.88,242.0,248.0,8.5,7.6,8.0,8.4,956.9,955.9,56.0,65.0
2025-04-01 23:00:00+00:00,3.96,4.38,225.0,235.0,7.48,8.39,238.0,247.0,7.4,7.4,7.9,8.3,956.9,956.0,56.0,67.0
2025-04-02 00:00:00+00:00,3.54,3.26,223.0,220.0,6.81,6.7,240.0,243.0,6.6,6.4,7.2,6.3,955.7,958.3,62.0,70.0
2025-04-02 01:00:00+00:00,3.2,2.88,219.0,214.0,6.28,5.73,236.0,237.0,5.8,5.4,7.1,6.4,955.6,958.5,62.0,68.0
2025-04-02 02:00:00+00:00,2.83,2.44,225.0,215.0,5.52,4.88,237.0,232.0,5.3,4.8,8.4,7.5,955.8,958.5,58.0,64.0
2025-04-02 03:00:00+00:00,3.01,2.2,255.0,231.0,3.88,3.63,249.0,232.0,4.7,4.1,10.5,9.5,956.4,958.6,49.0,56.0
2025-04-02 04:00:00+00:00,3.0,2.02,268.0,250.0,3.26,2.28,263.0,245.0,5.3,3.8,11.9,11.0,956.8,958.8,44.0,49.0
