time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2024-06-01 00:00:00+00:00,2.75,2.62,80.0,83.0,5.64,5.63,83.0,84.0,15.9,15.9,952.6,952.9,51.0,48.0
2024-06-01 01:00:00+00:00,3.77,3.96,79.0,80.0,6.58,6.97,81.0,82.0,17.4,17.2,953.0,953.3,47.0,43.0
2024-06-01 02:00:00+00:00,4.79,5.39,79.0,79.0,6.92,7.94,79.0,79.0,19.4,19.1,953.7,953.8,40.0,38.0
2024-06-01 03:00:00+00:00,5.39,6.33,79.0,78.0,6.94,8.3,78.0,77.0,21.4,21.1,954.1,954.1,34.0,33.0
2024-06-01 04:00:00+00:00,5.39,6.48,79.0,77.0,6.65,8.15,78.0,76.0,23.5,23.2,954.0,954.1,29.0,28.0
2024-06-01 05:00:00+00:00,5.0,6.02,78.0,75.0,5.94,7.4,77.0,74.0,25.7,25.4,953.7,953.7,24.0,24.0
2024-06-01 06:00:00+00:00,4.16,5.22,80.0,73.0,4.79,6.29,79.0,72.0,27.4,27.2,953.3,953.4,20.0,20.0
2024-06-01 07:00:00+00:00,2.6,3.91,90.0,77.0,2.9,4.63,88.0,76.0,28.6,28.4,952.7,952.7,17.0,18.0
2024-06-01 08:00:00+00:00,1.14,2.2,142.0,90.0,1.14,2.5,142.0,88.0,29.4,29.2,952.0,952.0,16.0,16.0
2024-06-01 09:00:00+00:00,1.84,0.64,221.0,141.0,2.05,0.72,223.0,146.0,29.9,29.6,951.4,951.4,14.0,15.0
2024-06-01 10:00:00+00:00,3.2,1.82,250.0,261.0,3.7,2.26,251.0,257.0,30.1,29.9,950.9,951.1,12.0,13.0
2024-06-01 11:00:00+00:00,4.71,4.1,266.0,271.0,5.52,5.0,265.0,270.0,30.1,29.9,950.6,951.0,10.0,11.0
2024-06-01 12:00:00+00:00,5.7,5.61,271.0,274.0,7.0,7.11,270.0,272.0,29.4,29.2,950.3,950.8,10.0,11.0
2024-06-01 13:00:00+00:00,5.5,5.7,270.0,272.0,7.7,8.0,270.0,271.0,27.7,27.6,950.2,950.8,15.0,15.0
2024-06-01 14:00:00+00:00,4.72,4.9,265.0,268.0,7.9,8.2,269.0,270.0,25.3,25.4,950.2,950.8,22.0,22.0
2024-06-01 15:00:00+00:00,3.91,4.16,257.0,260.0,7.72,8.01,266.0,267.0,23.3,23.5,950.1,950.7,28.0,28.0
2024-06-01 16:00:00+00:00,3.44,3.64,244.0,249.0,7.24,7.6,259.0,261.0,22.1,22.2,950.1,950.6,30.0,31.0
2024-06-01 17:00:00+00:00,3.11,3.36,228.0,233.0,6.56,7.15,249.0,252.0,21.3,21.3,949.9,950.4,30.0,34.0
2024-06-01 18:00:00+00:00,3.0,3.19,217.0,221.0,6.04,6.49,241.0,245.0,20.5,20.3,949.7,950.1,31.0,36.0
2024-06-01 19:00:00+00:00,2.69,2.78,222.0,218.0,5.5,5.69,245.0,246.0,19.5,19.1,949.4,949.6,34.0,40.0
2024-06-01 20:00:00+00:00,2.42,2.2,240.0,219.0,4.92,4.49,257.0,253.0,18.5,17.8,949.0,949.2,38.0,43.0
2024-06-01 21:00:00+00:00,2.21,1.5,252.0,217.0,4.2,3.14,267.0,261.0,17.8,16.9,948.7,948.8,41.0,46.0
2024-06-01 22:00:00+00:00,1.57,0.71,243.0,188.0,2.7,1.0,268.0,276.0,17.4,16.8,948.8,948.7,43.0,47.0
2024-06-01 23:00:00+00:00,0.95,0.91,198.0,96.0,0.92,1.62,257.0,68.0,17.3,17.0,949.1,948.7,43.0,47.0
2024-06-02 00:00:00+00:00,0.98,1.82,156.0,81.0,0.5,3.42,127.0,75.0,17.8,17.8,949.4,949.0,43.0,45.0
2024-06-02 01:00:00+00:00,0.78,2.57,130.0,77.0,0.7,4.15,90.0,75.0,19.3,19.0,949.9,949.5,42.0,41.0
2024-06-02 02:00:00+00:00,0.45,3.08,63.0,77.0,0.57,4.24,45.0,75.0,21.4,20.7,950.5,950.2,40.0,36.0
2024-06-02 03:00:00+00:00,0.61,3.3,9.0,76.0,0.6,4.03,360.0,76.0,23.4,22.5,950.8,950.5,37.0,31.0
2024-06-02 04:00:00+00:00,0.76,3.49,337.0,77.0,0.78,4.0,320.0,77.0,25.3,24.4,950.8,950.4,32.0,27.0
2024-06-02 05:00:00+00:00,1.12,3.37,297.0,78.0,1.21,3.77,294.0,79.0,27.1,26.4,950.5,950.0,26.0,23.0
2024-06-02 06:00:00+00:00,1.82,2.26,279.0,77.0,2.12,2.43,278.0,81.0,28.6,27.9,950.2,949.6,21.0,21.0
2024-06-02 07:00:00+00:00,3.0,0.81,270.0,263.0,3.5,1.24,270.0,256.0,29.5,28.6,949.8,949.3,18.0,20.0
2024-06-02 08:00:00+00:00,4.32,4.79,265.0,259.0,5.32,6.0,266.0,259.0,30.1,28.8,949.3,948.9,17.0,20.0
2024-06-02 09:00:00+00:00,5.53,7.47,264.0,262.0,6.83,9.27,265.0,263.0,30.4,28.6,948.9,948.8,16.0,21.0
2024-06-02 10:00:00+00:00,6.61,7.81,267.0,273.0,8.3,9.73,269.0,275.0,30.6,27.9,948.6,949.2,15.0,22.0
2024-06-02 11:00:00+00:00,7.41,7.37,272.0,291.0,9.51,9.47,272.0,292.0,30.5,26.8,948.3,949.8,15.0,24.0
2024-06-02 12:00:00+00:00,7.42,7.08,274.0,301.0,9.63,9.33,275.0,301.0,29.7,25.5,948.2,950.5,16.0,27.0
2024-06-02 13:00:00+00:00,5.7,6.15,271.0,292.0,7.45,8.54,277.0,291.0,28.0,24.3,948.7,951.2,20.0,31.0
2024-06-02 14:00:00+00:00,3.16,5.3,259.0,270.0,3.98,8.01,282.0,267.0,25.6,22.9,949.6,951.9,26.0,37.0
2024-06-02 15:00:00+00:00,1.63,5.09,227.0,250.0,1.71,8.22,291.0,252.0,23.5,21.7,950.1,952.3,32.0,42.0
2024-06-02 16:00:00+00:00,1.49,4.43,222.0,245.0,1.6,7.37,270.0,252.0,22.0,20.6,950.0,952.4,36.0,48.0
2024-06-02 17:00:00+00:00,1.75,3.31,239.0,245.0,2.79,5.98,255.0,260.0,20.8,19.7,949.6,952.2,40.0,54.0
2024-06-02 18:00:00+00:00,1.97,2.37,246.0,242.0,3.51,4.8,250.0,269.0,19.9,18.8,949.2,951.8,43.0,59.0
2024-06-02 19:00:00+00:00,1.84,1.91,241.0,227.0,3.22,3.73,244.0,262.0,19.1,17.6,948.9,951.2,46.0,61.0
2024-06-02 20:00:00+00:00,1.49,1.75,228.0,204.0,2.44,3.0,235.0,240.0,18.6,16.4,948.5,950.5,48.0,60.0
2024-06-02 21:00:00+00:00,0.92,1.73,193.0,190.0,1.08,2.55,202.0,222.0,18.1,15.7,948.4,950.0,50.0,60.0
2024-06-02 22:00:00+00:00,1.65,1.1,104.0,180.0,2.72,1.7,84.0,225.0,17.5,15.7,948.6,949.9,52.0,60.0
2024-06-02 23:00:00+00:00,3.82,0.3,84.0,180.0,6.77,1.0,74.0,276.0,17.0,16.1,948.9,950.0,55.0,60.0
2024-06-03 00:00:00+00:00,5.22,0.22,78.0,297.0,9.24,1.25,70.0,299.0,16.9,17.0,949.5,950.2,56.0,58.0
2024-06-03 01:00:00+00:00,5.15,1.0,72.0,233.0,8.47,1.65,67.0,256.0,17.3,18.4,950.5,950.7,56.0,54.0
2024-06-03 02:00:00+00:00,4.25,2.55,63.0,225.0,6.04,3.12,61.0,230.0,18.1,20.3,951.7,951.3,54.0,48.0
2024-06-03 03:00:00+00:00,3.26,3.54,50.0,227.0,3.75,4.32,48.0,228.0,19.4,22.0,952.5,951.8,51.0,43.0
2024-06-03 04:00:00+00:00,2.37,3.67,28.0,241.0,2.51,4.48,23.0,241.0,21.3,23.6,952.6,951.8,45.0,38.0
2024-06-03 05:00:00+00:00,1.94,3.85,348.0,261.0,2.12,4.55,341.0,261.0,23.7,25.1,952.4,951.7,37.0,33.0
