time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3
2024-02-01 00:00:00+00:00,,,,,,,,
2024-02-01 01:00:00+00:00,,,,,,,,
2024-02-01 02:00:00+00:00,,,,,,,,
2024-02-01 03:00:00+00:00,,,,,,,,
2024-02-01 04:00:00+00:00,,,,,,,,
2024-02-01 05:00:00+00:00,,,,,,,,
2024-02-01 06:00:00+00:00,,,,,,,,
2024-02-01 07:00:00+00:00,,,,,,,,
2024-02-01 08:00:00+00:00,,,,,,,,
2024-02-01 09:00:00+00:00,,,,,,,,
2024-02-01 10:00:00+00:00,,,,,,,,
2024-02-01 11:00:00+00:00,,,,,,,,
2024-02-01 12:00:00+00:00,,,,,,,,
2024-02-01 13:00:00+00:00,,,,,,,,
2024-02-01 14:00:00+00:00,,,,,,,,
2024-02-01 15:00:00+00:00,,,,,,,,
2024-02-01 16:00:00+00:00,,,,,,,,
2024-02-01 17:00:00+00:00,,,,,,,,
2024-02-01 18:00:00+00:00,,,,,,,,
2024-02-01 19:00:00+00:00,,,,,,,,
2024-02-01 20:00:00+00:00,,,,,,,,
2024-02-01 21:00:00+00:00,,,,,,,,
2024-02-01 22:00:00+00:00,,,,,,,,
2024-02-01 23:00:00+00:00,,,,,,,,
2024-02-02 00:00:00+00:00,,,,,,,,
2024-02-02 01:00:00+00:00,,,,,,,,
2024-02-02 02:00:00+00:00,,,,,,,,
2024-02-02 03:00:00+00:00,,,,,,,,
2024-02-02 04:00:00+00:00,,,,,,,,
2024-02-02 05:00:00+00:00,,,,,,,,
2024-02-02 06:00:00+00:00,,,,,,,,
2024-02-02 07:00:00+00:00,,,,,,,,
2024-02-02 08:00:00+00:00,,,,,,,,
2024-02-02 09:00:00+00:00,,,,,,,,
2024-02-02 10:00:00+00:00,,,,,,,,
2024-02-02 11:00:00+00:00,,,,,,,,
2024-02-02 12:00:00+00:00,,,,,,,,
2024-02-02 13:00:00+00:00,,,,,,,,
2024-02-02 14:00:00+00:00,,,,,,,,
2024-02-02 15:00:00+00:00,,,,,,,,
2024-02-02 16:00:00+00:00,,,,,,,,
2024-02-02 17:00:00+00:00,,,,,,,,
2024-02-02 18:00:00+00:00,,,,,,,,
2024-02-02 19:00:00+00:00,,,,,,,,
2024-02-02 20:00:00+00:00,,,,,,,,
2024-02-02 21:00:00+00:00,,,,,,,,
2024-02-02 22:00:00+00:00,,,,,,,,
2024-02-02 23:00:00+00:00,,,,,,,,
2024-02-03 00:00:00+00:00,,,,,,,,
2024-02-03 01:00:00+00:00,,,,,,,,
2024-02-03 02:00:00+00:00,,,,,,,,
2024-02-03 03:00:00+00:00,,,,,,,,
2024-02-03 04:00:00+00:00,,,,,,,,
2024-02-03 05:00:00+00:00,,,,,,,,
2024-02-03 06:00:00+00:00,,,,,,,,
2024-02-03 07:00:00+00:00,,,,,,,,
2024-02-03 08:00:00+00:00,,,,,,,,
2024-02-03 09:00:00+00:00,,,,,,,,
2024-02-03 10:00:00+00:00,,,,,,,,
2024-02-03 11:00:00+00:00,,,,,,,,
2024-02-03 12:00:00+00:00,,,,,,,,
2024-02-03 13:00:00+00:00,,,,,,,,
2024-02-03 14:00:00+00:00,,,,,,,,
2024-02-03 15:00:00+00:00,,,,,,,,
2024-02-03 16:00:00+00:00,,,,,,,,
2024-02-03 17:00:00+00:00,,,,,,,,
2024-02-03 18:00:00+00:00,,,,,,,,
2024-02-03 19:00:00+00:00,,,,,,,,
2024-02-03 20:00:00+00:00,,,,,,,,
2024-02-03 21:00:00+00:00,,,,,,,,
2024-02-03 22:00:00+00:00,,,,,,,,
2024-02-03 23:00:00+00:00,,,,,,,,
2024-02-04 00:00:00+00:00,,,,,,,,
2024-02-04 01:00:00+00:00,,,,,,,,
2024-02-04 02:00:00+00:00,,,,,,,,
2024-02-04 03:00:00+00:00,,,,,,,,
2024-02-04 04:00:00+00:00,,,,,,,,
2024-02-04 05:00:00+00:00,,,,,,,,
2024-02-04 06:00:00+00:00,,,,,,,,
2024-02-04 07:00:00+00:00,,,,,,,,
2024-02-04 08:00:00+00:00,,,,,,,,
2024-02-04 09:00:00+00:00,,,,,,,,
2024-02-04 10:00:00+00:00,,,,,,,,
2024-02-04 11:00:00+00:00,,,,,,,,
2024-02-04 12:00:00+00:00,,,,,,,,
2024-02-04 13:00:00+00:00,,,,,,,,
2024-02-04 14:00:00+00:00,,,,,,,,
2024-02-04 15:00:00+00:00,,,,,,,,
2024-02-04 16:00:00+00:00,,,,,,,,
2024-02-04 17:00:00+00:00,,,,,,,,
2024-02-04 18:00:00+00:00,,,,,,,,
2024-02-04 19:00:00+00:00,,,,,,,,
2024-02-04 20:00:00+00:00,,,,,,,,
2024-02-04 21:00:00+00:00,,,,,,,,
2024-02-04 22:00:00+00:00,,,,,,,,
2024-02-04 23:00:00+00:00,,,,,,,,
2024-02-05 00:00:00+00:00,4.62,,72.0,,-5.0,,957.5,
2024-02-05 01:00:00+00:00,4.96,,71.0,,-4.9,,957.7,
2024-02-05 02:00:00+00:00,5.5,,71.0,,-4.8,,958.0,
2024-02-05 03:00:00+00:00,5.98,,69.0,,-4.1,,958.1,
2024-02-05 04:00:00+00:00,6.46,,68.0,,-2.5,,958.2,
2024-02-05 05:00:00+00:00,6.85,,67.0,,-0.3,,958.2,
2024-02-05 06:00:00+00:00,6.99,,66.0,,1.5,,958.0,
2024-02-05 07:00:00+00:00,6.85,,67.0,,2.7,,957.5,
2024-02-05 08:00:00+00:00,6.46,,68.0,,3.7,,957.0,
2024-02-05 09:00:00+00:00,6.02,,69.0,,3.9,,956.5,
2024-02-05 10:00:00+00:00,5.46,,66.0,,3.0,,956.1,
2024-02-05 11:00:00+00:00,4.74,,62.0,,1.3,,955.6,
2024-02-05 12:00:00+00:00,4.17,,60.0,,-0.1,,955.4,
2024-02-05 13:00:00+00:00,3.67,,64.0,,-0.9,,955.3,
2024-02-05 14:00:00+00:00,3.32,,74.0,,-1.6,,955.3,
2024-02-05 15:00:00+00:00,3.22,,83.0,,-2.0,,955.3,
2024-02-05 16:00:00+00:00,3.32,,83.0,,-2.2,,955.0,
2024-02-05 17:00:00+00:00,3.57,,79.0,,-2.2,,954.8,
2024-02-05 18:00:00+00:00,4.03,,76.0,,-2.3,,954.6,
2024-02-05 19:00:00+00:00,4.71,,73.0,,-2.4,,954.4,
2024-02-05 20:00:00+00:00,5.57,,69.0,,-2.4,,954.3,
2024-02-05 21:00:00+00:00,6.15,,68.0,,-2.6,,954.3,
2024-02-05 22:00:00+00:00,6.24,,68.0,,-3.0,,954.1,
2024-02-05 23:00:00+00:00,6.11,,69.0,,-3.5,,953.9,
2024-02-06 00:00:00+00:00,5.98,6.89,69.0,66.0,-3.8,-3.7,953.8,953.6
2024-02-06 01:00:00+00:00,6.11,6.99,69.0,66.0,-3.9,-3.7,954.0,953.8
2024-02-06 02:00:00+00:00,6.37,6.99,68.0,66.0,-3.8,-3.5,954.2,953.8
2024-02-06 03:00:00+00:00,6.72,7.21,67.0,66.0,-3.1,-2.9,954.4,953.9
2024-02-06 04:00:00+00:00,7.16,7.65,65.0,64.0,-1.4,-1.3,954.5,953.9
2024-02-06 05:00:00+00:00,7.69,8.14,64.0,62.0,0.7,0.8,954.4,953.8
2024-02-06 06:00:00+00:00,8.1,8.55,63.0,61.0,2.5,2.5,954.2,953.6
2024-02-06 07:00:00+00:00,8.23,8.68,64.0,63.0,3.8,3.7,953.7,953.0
2024-02-06 08:00:00+00:00,8.23,8.72,66.0,65.0,4.7,4.6,952.9,952.2
2024-02-06 09:00:00+00:00,8.06,8.55,67.0,66.0,4.9,4.8,952.3,951.6
2024-02-06 10:00:00+00:00,7.7,8.05,65.0,65.0,4.0,4.0,952.0,951.2
2024-02-06 11:00:00+00:00,7.24,7.42,64.0,63.0,2.5,2.5,951.7,950.9
2024-02-06 12:00:00+00:00,6.89,6.85,62.0,61.0,1.2,1.3,951.6,950.7
2024-02-06 13:00:00+00:00,6.62,6.44,63.0,62.0,0.5,0.6,951.4,950.7
2024-02-06 14:00:00+00:00,6.53,6.22,65.0,64.0,0.1,0.1,951.3,950.7
2024-02-06 15:00:00+00:00,6.49,6.13,65.0,66.0,-0.2,-0.2,951.1,950.6
2024-02-06 16:00:00+00:00,6.4,6.13,65.0,66.0,-0.4,-0.3,950.8,950.4
2024-02-06 17:00:00+00:00,6.4,6.31,65.0,65.0,-0.4,-0.4,950.5,950.1
2024-02-06 18:00:00+00:00,6.44,6.44,64.0,64.0,-0.4,-0.4,950.2,949.8
2024-02-06 19:00:00+00:00,6.57,6.57,64.0,64.0,-0.5,-0.5,949.8,949.5
2024-02-06 20:00:00+00:00,6.84,6.62,63.0,63.0,-0.5,-0.6,949.3,949.2
2024-02-06 21:00:00+00:00,7.07,6.75,63.0,63.0,-0.7,-0.7,948.9,949.0
2024-02-06 22:00:00+00:00,7.16,6.89,63.0,62.0,-1.0,-0.9,948.6,948.9
2024-02-06 23:00:00+00:00,7.29,7.02,63.0,62.0,-1.3,-1.3,948.5,948.8
2024-02-07 00:00:00+00:00,7.38,7.11,63.0,62.0,-1.5,-1.4,948.3,948.9
2024-02-07 01:00:00+00:00,7.6,7.16,63.0,63.0,-1.5,-1.5,948.3,949.0
2024-02-07 02:00:00+00:00,7.92,7.2,64.0,65.0,-1.4,-1.3,948.4,949.2
2024-02-07 03:00:00+00:00,8.36,7.42,64.0,64.0,-0.9,-0.7,948.5,949.2
2024-02-07 04:00:00+00:00,8.94,8.14,63.0,64.0,0.5,0.7,948.3,949.2
2024-02-07 05:00:00+00:00,9.75,8.99,63.0,63.0,2.3,2.5,948.1,949.0
2024-02-07 06:00:00+00:00,10.2,9.57,63.0,63.0,3.9,4.1,947.8,948.8
2024-02-07 07:00:00+00:00,10.29,9.79,65.0,64.0,5.1,5.3,947.3,948.3
2024-02-07 08:00:00+00:00,10.12,9.67,67.0,66.0,6.0,6.2,946.8,947.9
2024-02-07 09:00:00+00:00,9.6,9.01,68.0,67.0,6.3,6.4,946.5,947.6
2024-02-07 10:00:00+00:00,9.01,7.67,67.0,68.0,5.7,5.5,946.4,947.8
2024-02-07 11:00:00+00:00,8.19,5.83,65.0,68.0,4.4,3.8,946.3,948.3
2024-02-07 12:00:00+00:00,6.35,3.58,64.0,67.0,3.2,2.4,946.9,949.0
2024-02-07 13:00:00+00:00,2.34,0.54,70.0,68.0,2.0,1.5,948.3,950.4
2024-02-07 14:00:00+00:00,2.84,2.95,231.0,246.0,0.8,0.9,950.1,952.1
2024-02-07 15:00:00+00:00,6.21,5.02,237.0,247.0,-0.2,0.2,951.4,953.3
2024-02-07 16:00:00+00:00,5.95,4.7,241.0,246.0,-1.1,-0.7,951.6,953.2
2024-02-07 17:00:00+00:00,4.05,3.18,250.0,246.0,-1.8,-1.7,951.1,952.5
2024-02-07 18:00:00+00:00,3.13,2.01,263.0,243.0,-2.1,-2.4,951.1,952.0
2024-02-07 19:00:00+00:00,4.28,1.84,259.0,241.0,-1.6,-2.6,951.7,952.0
2024-02-07 20:00:00+00:00,6.14,2.11,254.0,239.0,-0.6,-2.7,952.5,952.2
2024-02-07 21:00:00+00:00,7.49,2.56,251.0,239.0,0.0,-2.6,953.5,953.1
2024-02-07 22:00:00+00:00,7.53,3.26,251.0,243.0,0.0,-2.6,954.7,955.1
2024-02-07 23:00:00+00:00,7.02,4.16,250.0,246.0,-0.3,-2.5,955.8,957.7
2024-02-08 00:00:00+00:00,6.02,4.35,249.0,247.0,-0.5,-2.5,956.8,959.7
2024-02-08 01:00:00+00:00,4.61,3.14,243.0,248.0,-0.7,-2.6,957.4,960.8
2024-02-08 02:00:00+00:00,2.91,1.26,229.0,252.0,-0.9,-2.8,957.8,961.4
2024-02-08 03:00:00+00:00,1.75,0.42,204.0,45.0,-0.8,-2.5,958.5,962.0
2024-02-08 04:00:00+00:00,0.95,1.49,162.0,48.0,-0.3,-1.4,959.5,962.5
2024-02-08 05:00:00+00:00,1.0,2.33,90.0,47.0,0.4,0.1,960.8,963.0
2024-02-08 06:00:00+00:00,1.21,3.11,66.0,48.0,1.0,1.2,961.9,963.2
2024-02-08 07:00:00+00:00,0.2,3.8,360.0,55.0,1.2,1.5,962.6,963.2
2024-02-08 08:00:00+00:00,1.75,4.57,257.0,61.0,1.2,1.5,963.2,963.0
2024-02-08 09:00:00+00:00,2.72,4.74,253.0,65.0,1.2,1.2,963.5,963.0
