time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2025-12-01 00:00:00+00:00,0.28,0.51,225.0,79.0,0.64,2.12,219.0,82.0,-3.5,-3.4,960.7,960.3,89.0,88.0
2025-12-01 01:00:00+00:00,0.4,1.14,90.0,75.0,0.91,3.18,96.0,77.0,-3.5,-3.2,961.0,960.6,90.0,85.0
2025-12-01 02:00:00+00:00,1.33,1.99,77.0,72.0,2.73,4.49,82.0,73.0,-3.2,-2.7,961.3,960.9,91.0,81.0
2025-12-01 03:00:00+00:00,2.4,2.85,73.0,72.0,4.54,5.6,76.0,71.0,-2.3,-1.6,961.6,961.3,87.0,74.0
2025-12-01 04:00:00+00:00,3.64,3.77,69.0,68.0,6.1,6.61,72.0,70.0,-0.3,0.3,961.9,961.5,72.0,63.0
2025-12-01 05:00:00+00:00,5.02,4.7,67.0,66.0,7.6,7.45,69.0,68.0,2.4,2.8,961.9,961.8,52.0,50.0
2025-12-01 06:00:00+00:00,5.95,5.41,65.0,65.0,8.78,8.15,67.0,67.0,4.4,4.6,961.8,961.8,37.0,41.0
2025-12-01 07:00:00+00:00,6.31,5.55,65.0,64.0,9.59,8.56,67.0,67.0,5.1,5.3,961.2,961.2,32.0,37.0
2025-12-01 08:00:00+00:00,6.22,5.41,64.0,65.0,10.12,8.75,67.0,68.0,5.2,5.4,960.5,960.4,33.0,37.0
2025-12-01 09:00:00+00:00,6.13,5.32,64.0,64.0,10.44,8.97,67.0,68.0,4.9,5.2,959.8,959.8,36.0,39.0
2025-12-01 10:00:00+00:00,6.04,5.32,63.0,64.0,10.66,9.42,67.0,68.0,4.1,4.4,959.5,959.5,41.0,43.0
2025-12-01 11:00:00+00:00,5.72,5.28,63.0,63.0,10.79,9.9,67.0,67.0,2.9,3.3,959.3,959.4,49.0,49.0
2025-12-01 12:00:00+00:00,5.64,5.28,63.0,63.0,10.83,10.26,66.0,66.0,1.9,2.5,959.1,959.3,54.0,53.0
2025-12-01 13:00:00+00:00,5.64,5.19,63.0,62.0,10.93,10.26,66.0,66.0,1.6,2.1,958.9,959.0,55.0,54.0
2025-12-01 14:00:00+00:00,5.77,5.14,62.0,63.0,10.93,10.03,66.0,67.0,1.7,2.0,958.7,958.8,54.0,54.0
2025-12-01 15:00:00+00:00,5.77,5.05,62.0,63.0,10.93,9.81,66.0,67.0,1.7,1.9,958.4,958.5,52.0,53.0
2025-12-01 16:00:00+00:00,5.77,5.14,62.0,63.0,10.93,9.9,66.0,67.0,1.5,1.7,958.2,958.0,50.0,52.0
2025-12-01 17:00:00+00:00,5.72,5.14,63.0,63.0,10.83,10.03,66.0,67.0,1.4,1.4,957.9,957.6,47.0,51.0
2025-12-01 18:00:00+00:00,5.59,4.97,63.0,65.0,10.74,9.85,66.0,66.0,1.3,1.2,957.6,957.3,45.0,50.0
2025-12-01 19:00:00+00:00,5.59,4.35,63.0,67.0,10.78,9.13,65.0,65.0,1.3,0.9,957.2,957.0,43.0,50.0
2025-12-01 20:00:00+00:00,5.55,3.51,64.0,70.0,10.78,8.05,65.0,65.0,1.3,0.6,956.7,956.8,42.0,51.0
2025-12-01 21:00:00+00:00,5.1,2.79,64.0,75.0,10.11,7.2,65.0,65.0,1.0,0.4,956.4,956.5,42.0,51.0
2025-12-01 22:00:00+00:00,3.76,2.65,65.0,79.0,8.29,7.08,67.0,67.0,0.3,0.2,956.0,956.2,43.0,50.0
2025-12-01 23:00:00+00:00,2.06,2.62,67.0,83.0,5.7,7.15,68.0,70.0,-0.7,0.0,955.7,955.8,45.0,48.0
2025-12-02 00:00:00+00:00,0.51,2.2,79.0,87.0,3.2,6.36,70.0,71.0,-1.5,-0.3,955.5,955.6,47.0,48.0
2025-12-02 01:00:00+00:00,0.64,0.98,231.0,114.0,0.78,3.55,50.0,68.0,-2.3,-1.2,955.7,955.8,49.0,51.0
2025-12-02 02:00:00+00:00,1.57,1.14,243.0,218.0,1.9,0.42,273.0,315.0,-2.8,-2.3,956.0,956.2,51.0,55.0
2025-12-02 03:00:00+00:00,2.15,2.25,248.0,238.0,3.5,2.93,268.0,262.0,-2.6,-2.4,956.4,956.6,52.0,58.0
2025-12-02 04:00:00+00:00,2.28,2.28,255.0,247.0,3.71,3.34,267.0,261.0,-0.7,-0.9,956.7,957.0,52.0,57.0
2025-12-02 05:00:00+00:00,2.12,1.73,262.0,260.0,3.11,2.61,264.0,266.0,1.9,1.6,957.1,957.4,51.0,54.0
2025-12-02 06:00:00+00:00,2.0,1.5,270.0,274.0,2.71,2.1,266.0,270.0,4.0,3.6,957.2,957.6,50.0,52.0
2025-12-02 07:00:00+00:00,2.11,1.63,275.0,281.0,2.7,2.11,270.0,275.0,4.9,4.7,956.8,957.3,49.0,49.0
2025-12-02 08:00:00+00:00,2.33,1.82,280.0,279.0,2.82,2.22,276.0,278.0,5.3,5.3,956.2,956.6,47.0,47.0
2025-12-02 09:00:00+00:00,2.43,2.02,279.0,279.0,3.13,2.62,277.0,277.0,4.9,5.2,955.7,956.2,49.0,48.0
2025-12-02 10:00:00+00:00,2.3,2.1,272.0,273.0,3.7,3.6,268.0,268.0,3.4,3.9,955.6,955.8,57.0,55.0
2025-12-02 11:00:00+00:00,2.12,2.31,262.0,265.0,4.57,4.85,260.0,262.0,1.1,1.8,955.7,955.7,67.0,65.0
2025-12-02 12:00:00+00:00,1.99,2.35,252.0,258.0,5.26,5.82,256.0,258.0,-0.7,0.1,955.7,955.6,75.0,72.0
2025-12-02 13:00:00+00:00,2.02,2.31,250.0,252.0,5.44,6.02,253.0,255.0,-1.4,-0.6,955.8,955.6,76.0,73.0
2025-12-02 14:00:00+00:00,1.97,2.19,246.0,246.0,5.38,5.79,252.0,252.0,-1.6,-0.9,955.9,955.8,74.0,71.0
2025-12-02 15:00:00+00:00,1.84,2.06,248.0,241.0,5.03,5.5,253.0,251.0,-1.8,-1.2,956.0,955.9,72.0,69.0
2025-12-02 16:00:00+00:00,1.39,1.88,249.0,245.0,4.39,5.07,258.0,255.0,-2.1,-1.8,956.1,956.0,70.0,68.0
2025-12-02 17:00:00+00:00,0.82,1.75,256.0,257.0,3.5,4.63,268.0,264.0,-2.5,-2.5,956.1,955.9,67.0,68.0
2025-12-02 18:00:00+00:00,0.3,1.5,270.0,266.0,2.45,4.1,282.0,270.0,-2.8,-3.1,956.0,955.8,67.0,68.0
2025-12-02 19:00:00+00:00,0.32,1.0,72.0,264.0,0.89,3.3,297.0,270.0,-3.2,-3.4,955.7,955.6,72.0,69.0
2025-12-02 20:00:00+00:00,1.02,0.5,79.0,233.0,1.2,2.32,85.0,263.0,-3.5,-3.6,955.4,955.4,79.0,70.0
2025-12-02 21:00:00+00:00,1.53,0.41,79.0,166.0,2.9,1.39,90.0,249.0,-3.6,-3.8,955.2,955.3,83.0,72.0
