time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2025-09-01 00:00:00+00:00,0.3,0.2,180.0,180.0,1.5,1.36,270.0,287.0,11.7,11.6,950.9,951.2,45.0,44.0
2025-09-01 01:00:00+00:00,1.32,1.24,81.0,76.0,1.0,1.2,53.0,42.0,12.9,12.8,951.2,951.5,42.0,41.0
2025-09-01 02:00:00+00:00,3.1,2.85,75.0,72.0,3.89,3.58,72.0,67.0,15.0,14.9,951.9,952.0,37.0,37.0
2025-09-01 03:00:00+00:00,4.34,3.98,75.0,72.0,5.8,5.35,75.0,73.0,17.0,17.0,952.1,952.3,31.0,32.0
2025-09-01 04:00:00+00:00,4.51,4.4,77.0,73.0,5.97,5.92,76.0,74.0,18.9,18.9,951.9,952.2,26.0,26.0
2025-09-01 05:00:00+00:00,4.06,4.44,80.0,76.0,5.18,5.7,80.0,75.0,20.9,20.8,951.2,952.0,20.0,21.0
2025-09-01 06:00:00+00:00,3.31,4.08,85.0,79.0,4.13,5.12,83.0,78.0,22.5,22.5,950.5,951.6,16.0,16.0
2025-09-01 07:00:00+00:00,2.4,3.51,92.0,87.0,2.9,4.31,88.0,86.0,23.9,23.8,949.9,951.0,14.0,14.0
2025-09-01 08:00:00+00:00,1.26,2.67,108.0,103.0,1.43,3.26,102.0,101.0,25.0,24.8,949.2,950.3,13.0,14.0
2025-09-01 09:00:00+00:00,0.73,1.72,196.0,126.0,0.81,2.0,210.0,127.0,25.6,25.5,948.5,949.6,12.0,13.0
2025-09-01 10:00:00+00:00,2.15,0.99,248.0,225.0,2.88,1.36,250.0,234.0,25.7,25.8,948.1,949.2,10.0,10.0
2025-09-01 11:00:00+00:00,4.08,3.2,259.0,270.0,5.41,4.2,258.0,270.0,25.3,25.7,947.6,948.8,7.0,7.0
2025-09-01 12:00:00+00:00,5.26,4.8,261.0,272.0,7.32,6.5,260.0,272.0,24.6,25.1,947.4,948.6,7.0,7.0
2025-09-01 13:00:00+00:00,5.3,4.73,259.0,264.0,8.02,7.14,260.0,264.0,23.3,23.5,947.3,948.6,11.0,12.0
2025-09-01 14:00:00+00:00,4.66,4.09,255.0,248.0,8.14,7.24,259.0,252.0,21.7,21.4,947.3,948.7,18.0,20.0
2025-09-01 15:00:00+00:00,4.05,3.56,250.0,232.0,7.86,7.07,258.0,243.0,20.3,19.6,947.3,948.6,23.0,26.0
2025-09-01 16:00:00+00:00,3.53,2.97,245.0,225.0,7.23,6.4,256.0,241.0,19.5,18.6,947.1,948.1,25.0,27.0
2025-09-01 17:00:00+00:00,2.97,2.14,237.0,217.0,6.32,5.24,252.0,241.0,19.0,17.9,946.9,947.3,25.0,26.0
2025-09-01 18:00:00+00:00,2.55,1.39,228.0,210.0,5.61,3.94,248.0,243.0,18.4,17.2,946.7,946.6,25.0,26.0
2025-09-01 19:00:00+00:00,2.27,0.92,221.0,193.0,5.19,2.42,245.0,240.0,17.5,16.4,946.3,946.1,26.0,28.0
2025-09-01 20:00:00+00:00,2.0,0.58,217.0,149.0,4.92,0.78,243.0,220.0,16.6,15.7,945.8,945.6,28.0,30.0
2025-09-01 21:00:00+00:00,1.8,0.67,214.0,117.0,4.56,0.71,244.0,98.0,15.7,15.0,945.4,945.2,30.0,33.0
2025-09-01 22:00:00+00:00,1.44,0.73,214.0,106.0,4.14,1.43,250.0,78.0,14.7,14.2,944.9,945.2,33.0,36.0
2025-09-01 23:00:00+00:00,1.0,0.63,217.0,108.0,3.73,1.77,262.0,74.0,13.8,13.5,944.4,945.3,36.0,39.0
2025-09-02 00:00:00+00:00,0.86,0.61,234.0,99.0,3.6,2.12,270.0,71.0,13.9,13.6,944.3,945.6,38.0,40.0
2025-09-02 01:00:00+00:00,1.34,1.22,243.0,81.0,3.61,2.62,265.0,72.0,15.7,15.2,944.9,946.2,37.0,36.0
2025-09-02 02:00:00+00:00,2.19,1.96,246.0,75.0,3.91,3.01,257.0,75.0,18.5,17.6,945.8,947.1,34.0,29.0
2025-09-02 03:00:00+00:00,2.97,1.93,250.0,69.0,4.3,2.62,252.0,72.0,21.1,20.1,946.4,947.5,30.0,24.0
2025-09-02 04:00:00+00:00,3.57,0.81,259.0,30.0,4.81,0.92,258.0,41.0,23.1,22.4,946.3,947.2,25.0,21.0
2025-09-02 05:00:00+00:00,4.31,1.87,266.0,286.0,5.51,2.28,266.0,285.0,25.0,24.8,946.0,946.7,20.0,19.0
2025-09-02 06:00:00+00:00,5.1,3.81,270.0,275.0,6.5,4.82,270.0,275.0,26.4,26.6,945.6,946.1,17.0,18.0
2025-09-02 07:00:00+00:00,6.21,5.3,267.0,269.0,8.11,6.8,268.0,269.0,27.3,27.5,945.2,945.6,17.0,17.0
2025-09-02 08:00:00+00:00,7.43,6.54,265.0,264.0,9.84,8.54,265.0,265.0,27.7,27.8,944.7,945.2,18.0,16.0
2025-09-02 09:00:00+00:00,8.02,7.45,266.0,263.0,10.72,9.85,267.0,264.0,27.7,27.9,944.4,945.0,20.0,17.0
