time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2024-08-01 00:00:00+00:00,3.1,2.82,90.0,73.0,6.01,5.82,87.0,74.0,25.3,24.6,943.0,942.4,44.0,49.0
2024-08-01 01:00:00+00:00,4.32,4.21,85.0,72.0,7.14,7.02,84.0,73.0,26.3,25.8,943.3,942.7,45.0,48.0
2024-08-01 02:00:00+00:00,5.3,6.2,79.0,72.0,7.55,8.89,79.0,73.0,27.8,27.7,943.7,943.0,45.0,46.0
2024-08-01 03:00:00+00:00,5.99,7.62,75.0,73.0,7.67,10.03,75.0,73.0,29.4,29.6,943.8,943.2,43.0,43.0
2024-08-01 04:00:00+00:00,6.43,8.01,75.0,74.0,7.91,10.19,74.0,74.0,30.9,31.6,943.7,943.0,39.0,39.0
2024-08-01 05:00:00+00:00,6.43,7.88,75.0,75.0,7.88,9.85,75.0,75.0,32.6,33.6,943.4,942.6,34.0,33.0
2024-08-01 06:00:00+00:00,5.99,7.23,75.0,76.0,7.25,8.88,75.0,76.0,34.0,35.3,942.9,942.0,29.0,28.0
2024-08-01 07:00:00+00:00,4.73,6.16,77.0,77.0,5.58,7.4,75.0,77.0,35.3,36.7,942.3,941.4,25.0,24.0
2024-08-01 08:00:00+00:00,2.96,4.61,78.0,77.0,3.4,5.43,76.0,77.0,36.5,37.8,941.6,940.8,22.0,20.0
2024-08-01 09:00:00+00:00,1.5,2.79,94.0,75.0,1.6,3.23,90.0,74.0,37.4,38.6,940.8,940.2,19.0,17.0
2024-08-01 10:00:00+00:00,1.28,0.82,141.0,14.0,1.22,1.12,145.0,10.0,38.3,39.2,940.1,939.7,17.0,15.0
2024-08-01 11:00:00+00:00,2.04,2.92,169.0,292.0,2.12,3.4,172.0,294.0,38.9,39.4,939.5,939.4,15.0,13.0
2024-08-01 12:00:00+00:00,2.72,4.75,174.0,285.0,2.9,5.73,178.0,286.0,38.7,38.9,939.0,939.1,14.0,13.0
2024-08-01 13:00:00+00:00,2.75,4.88,170.0,281.0,3.2,6.75,178.0,282.0,37.1,37.2,938.9,939.1,15.0,15.0
2024-08-01 14:00:00+00:00,2.56,4.01,159.0,274.0,3.13,6.86,173.0,278.0,34.6,34.7,938.9,939.1,17.0,18.0
2024-08-01 15:00:00+00:00,2.3,3.01,146.0,266.0,2.72,6.31,163.0,273.0,32.5,32.6,939.0,939.1,19.0,21.0
2024-08-01 16:00:00+00:00,1.94,2.12,125.0,251.0,1.98,5.06,139.0,261.0,31.5,31.4,938.9,939.0,20.0,22.0
2024-08-01 17:00:00+00:00,1.9,1.58,93.0,215.0,2.0,3.66,90.0,235.0,30.9,30.5,938.8,938.9,20.0,23.0
2024-08-01 18:00:00+00:00,2.16,1.5,77.0,176.0,2.82,2.95,67.0,204.0,30.3,29.6,938.7,938.8,21.0,24.0
2024-08-01 19:00:00+00:00,2.14,1.58,79.0,145.0,3.36,2.21,67.0,175.0,29.5,28.6,938.7,938.6,23.0,25.0
2024-08-01 20:00:00+00:00,1.91,1.7,96.0,118.0,3.76,1.72,73.0,126.0,28.7,27.5,938.7,938.4,25.0,27.0
2024-08-01 21:00:00+00:00,1.96,2.02,105.0,99.0,4.2,2.61,78.0,86.0,28.0,26.8,938.8,938.3,28.0,29.0
2024-08-01 22:00:00+00:00,2.02,2.42,99.0,83.0,4.63,4.18,76.0,73.0,27.2,26.3,938.9,938.5,31.0,32.0
2024-08-01 23:00:00+00:00,2.3,2.88,90.0,70.0,5.07,5.74,75.0,67.0,26.4,26.1,939.1,938.9,35.0,37.0
2024-08-02 00:00:00+00:00,2.61,3.4,86.0,66.0,5.26,6.76,76.0,66.0,26.3,26.5,939.6,939.3,37.0,39.0
