time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,wind_gusts_10m@pd2,wind_gusts_10m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2025-08-01 00:00:00+00:00,1.3,1.35,203.0,222.0,1.62,2.73,248.0,262.0,1.4,1.9,21.6,21.6,940.3,939.7,49.0,48.0
2025-08-01 01:00:00+00:00,1.44,0.85,214.0,249.0,1.93,2.5,249.0,286.0,1.9,2.4,24.8,24.6,941.1,940.6,39.0,39.0
2025-08-01 02:00:00+00:00,0.86,1.43,306.0,295.0,1.22,2.28,305.0,293.0,1.2,2.4,27.0,26.5,941.6,941.1,34.0,35.0
2025-08-01 03:00:00+00:00,2.31,2.06,18.0,331.0,1.36,1.53,54.0,302.0,1.3,1.6,28.7,27.9,941.4,941.1,31.0,33.0
2025-08-01 04:00:00+00:00,3.52,2.01,35.0,6.0,3.01,0.92,75.0,347.0,2.5,0.8,30.5,29.1,941.0,940.9,27.0,31.0
2025-08-01 05:00:00+00:00,3.89,2.47,44.0,32.0,3.52,1.08,75.0,56.0,2.9,0.8,32.0,30.3,940.7,940.4,24.0,29.0
2025-08-01 06:00:00+00:00,4.13,1.08,58.0,34.0,3.54,0.32,82.0,288.0,3.7,0.4,32.7,31.7,939.9,941.3,23.0,24.0
2025-08-01 07:00:00+00:00,4.78,1.21,53.0,66.0,4.37,0.61,79.0,171.0,3.0,1.5,34.4,33.7,939.0,940.7,18.0,19.0
2025-08-01 08:00:00+00:00,4.75,1.84,49.0,49.0,4.28,0.45,79.0,153.0,3.0,1.5,35.2,34.9,938.1,939.9,16.0,16.0
2025-08-01 09:00:00+00:00,3.96,1.64,43.0,38.0,3.03,0.61,82.0,261.0,3.3,2.7,35.5,35.6,937.2,939.2,15.0,15.0
2025-08-01 10:00:00+00:00,4.3,0.3,245.0,180.0,4.71,2.04,197.0,259.0,4.0,3.7,35.0,36.0,937.2,938.5,15.0,15.0
2025-08-01 11:00:00+00:00,8.28,1.39,233.0,249.0,14.47,3.11,229.0,264.0,10.9,3.9,32.4,36.1,938.0,938.2,19.0,14.0
2025-08-01 12:00:00+00:00,7.3,4.34,216.0,206.0,13.07,5.86,231.0,233.0,11.7,5.5,30.0,33.1,937.7,937.7,28.0,19.0
2025-08-01 13:00:00+00:00,5.35,3.05,287.0,221.0,10.38,5.47,286.0,252.0,10.3,5.6,30.4,33.4,939.8,938.2,27.0,19.0
2025-08-01 14:00:00+00:00,5.89,2.9,260.0,226.0,10.82,5.47,266.0,261.0,12.5,3.9,25.0,29.9,939.7,938.2,39.0,24.0
2025-08-01 15:00:00+00:00,7.22,3.09,228.0,205.0,13.23,5.25,250.0,252.0,14.6,3.9,24.6,28.2,941.4,938.6,40.0,27.0
2025-08-01 16:00:00+00:00,10.13,5.8,261.0,226.0,13.73,10.46,260.0,236.0,13.2,12.4,23.9,25.4,941.9,938.5,45.0,33.0
2025-08-01 17:00:00+00:00,10.21,2.42,241.0,204.0,13.82,6.48,245.0,257.0,13.0,4.8,22.7,24.8,942.4,938.9,50.0,34.0
2025-08-01 18:00:00+00:00,8.98,3.78,258.0,233.0,15.53,8.51,258.0,252.0,15.2,9.8,22.1,23.7,942.7,942.0,54.0,50.0
2025-08-01 19:00:00+00:00,9.14,2.52,250.0,236.0,15.62,6.18,251.0,261.0,14.8,7.8,21.0,22.8,942.6,941.6,61.0,51.0
2025-08-01 20:00:00+00:00,8.95,3.1,242.0,255.0,14.84,7.45,249.0,258.0,13.5,9.2,20.8,21.7,942.6,941.4,62.0,53.0
2025-08-01 21:00:00+00:00,6.56,5.77,218.0,244.0,11.6,10.79,241.0,247.0,12.3,13.1,20.2,19.9,942.6,941.6,65.0,63.0
2025-08-01 22:00:00+00:00,3.45,7.34,202.0,242.0,7.97,12.79,246.0,248.0,9.8,13.9,20.2,19.6,942.5,942.0,62.0,66.0
2025-08-01 23:00:00+00:00,2.98,6.31,230.0,243.0,6.84,12.22,258.0,246.0,7.6,13.5,19.6,20.1,942.5,942.6,64.0,61.0
2025-08-02 00:00:00+00:00,6.71,5.16,242.0,238.0,11.09,9.51,243.0,248.0,11.2,11.5,20.1,20.7,942.8,942.4,60.0,59.0
2025-08-02 01:00:00+00:00,6.89,4.25,242.0,243.0,11.23,7.5,243.0,249.0,11.8,9.2,21.3,22.4,943.5,942.9,56.0,52.0
2025-08-02 02:00:00+00:00,7.17,5.01,247.0,267.0,11.28,7.22,246.0,260.0,10.5,7.3,23.2,24.3,944.3,943.3,52.0,46.0
2025-08-02 03:00:00+00:00,7.33,5.5,265.0,269.0,11.73,8.18,259.0,258.0,10.3,7.3,25.3,25.5,944.6,943.4,45.0,43.0
2025-08-02 04:00:00+00:00,7.52,7.3,275.0,269.0,10.73,9.6,266.0,262.0,9.7,7.9,26.9,27.3,944.8,944.0,39.0,38.0
2025-08-02 05:00:00+00:00,7.54,8.3,285.0,270.0,9.9,10.34,268.0,261.0,8.9,8.5,28.3,28.5,944.5,943.9,35.0,35.0
2025-08-02 06:00:00+00:00,5.77,5.59,298.0,297.0,6.51,6.76,281.0,278.0,9.0,5.9,31.5,32.0,944.0,942.9,25.0,25.0
2025-08-02 07:00:00+00:00,8.43,8.1,292.0,294.0,9.74,9.71,275.0,273.0,10.5,8.5,31.8,32.2,943.6,942.7,23.0,24.0
2025-08-02 08:00:00+00:00,9.47,8.1,292.0,286.0,11.6,11.22,271.0,273.0,10.8,10.0,31.2,32.3,943.2,942.1,25.0,23.0
2025-08-02 09:00:00+00:00,8.22,5.2,288.0,271.0,10.81,9.15,267.0,264.0,9.7,8.8,31.5,32.0,943.5,941.9,26.0,23.0
2025-08-02 10:00:00+00:00,7.5,5.63,291.0,237.0,10.02,9.24,267.0,254.0,10.0,8.3,31.7,31.8,943.3,941.9,25.0,25.0
2025-08-02 11:00:00+00:00,6.37,6.33,292.0,196.0,8.86,9.85,259.0,235.0,9.5,8.6,29.9,28.5,943.4,941.8,27.0,35.0
2025-08-02 12:00:00+00:00,8.45,8.52,287.0,292.0,11.13,11.33,284.0,293.0,12.4,10.3,31.6,31.4,943.7,943.1,21.0,23.0
2025-08-02 13:00:00+00:00,7.16,7.56,295.0,290.0,10.08,9.83,293.0,301.0,11.2,9.8,30.9,30.6,943.8,943.6,21.0,23.0
2025-08-02 14:00:00+00:00,4.71,5.0,287.0,272.0,8.84,8.37,308.0,299.0,9.8,8.9,28.2,28.2,943.8,943.9,27.0,26.0
2025-08-02 15:00:00+00:00,3.09,4.34,241.0,232.0,6.3,5.72,327.0,289.0,5.6,5.8,27.6,26.7,944.7,944.4,28.0,30.0
2025-08-02 16:00:00+00:00,4.06,4.69,218.0,214.0,1.9,5.95,273.0,243.0,1.8,5.7,27.3,25.4,945.4,944.9,28.0,32.0
2025-08-02 17:00:00+00:00,4.24,3.94,225.0,210.0,5.31,6.75,223.0,245.0,5.4,6.6,27.5,26.4,945.7,945.3,28.0,30.0
2025-08-02 18:00:00+00:00,2.0,3.01,183.0,186.0,4.44,5.3,234.0,238.0,4.2,4.3,25.9,23.3,945.5,944.6,39.0,48.0
2025-08-02 19:00:00+00:00,2.0,3.01,183.0,186.0,3.32,5.4,249.0,231.0,2.3,4.4,24.5,23.0,944.8,944.6,44.0,48.0
2025-08-02 20:00:00+00:00,2.3,2.94,182.0,190.0,3.44,4.88,244.0,235.0,2.5,3.3,22.5,23.0,944.4,944.6,49.0,46.0
2025-08-02 21:00:00+00:00,1.91,2.55,186.0,191.0,3.18,4.52,257.0,245.0,2.5,2.8,21.4,22.4,944.3,944.4,51.0,46.0
2025-08-02 22:00:00+00:00,1.9,2.45,177.0,192.0,2.35,4.68,258.0,250.0,1.8,3.1,20.9,21.9,944.5,944.6,51.0,46.0
2025-08-02 23:00:00+00:00,1.8,2.38,177.0,195.0,1.91,5.01,264.0,244.0,1.5,3.5,20.5,21.5,944.6,945.0,51.0,47.0
2025-08-03 00:00:00+00:00,2.0,1.48,183.0,208.0,2.92,3.79,248.0,258.0,2.2,2.4,21.8,20.8,945.0,945.5,41.0,48.0
2025-08-03 01:00:00+00:00,1.34,1.34,207.0,207.0,2.73,2.94,262.0,252.0,2.6,3.0,24.8,23.4,945.8,946.3,34.0,42.0
