time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,wind_gusts_10m@pd2,wind_gusts_10m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2024-03-01 00:00:00+00:00,1.91,5.22,264.0,70.0,1.41,13.24,315.0,64.0,2.2,15.5,-3.6,-2.0,957.0,956.8,65.0,50.0
2024-03-01 01:00:00+00:00,1.08,5.59,248.0,66.0,1.5,13.51,274.0,62.0,2.2,16.6,-3.8,-2.1,957.1,956.4,66.0,49.0
2024-03-01 02:00:00+00:00,1.12,5.37,297.0,63.0,1.61,12.92,300.0,64.0,2.1,16.3,-3.5,-2.2,957.4,957.0,64.0,48.0
2024-03-01 03:00:00+00:00,1.39,4.88,291.0,67.0,1.43,12.2,282.0,68.0,1.7,15.3,-3.1,-0.6,957.6,957.1,62.0,43.0
2024-03-01 04:00:00+00:00,1.77,6.36,313.0,60.0,1.88,12.82,295.0,67.0,1.7,15.7,-2.3,1.2,957.7,957.2,59.0,37.0
2024-03-01 05:00:00+00:00,1.53,6.24,349.0,55.0,0.98,11.45,336.0,65.0,1.0,14.1,-1.4,2.8,957.4,957.6,56.0,32.0
2024-03-01 06:00:00+00:00,1.0,2.86,360.0,54.0,0.28,7.06,315.0,74.0,0.6,7.4,-0.1,3.2,957.2,958.7,48.0,29.0
2024-03-01 07:00:00+00:00,0.95,3.09,342.0,61.0,0.61,6.99,261.0,77.0,1.0,7.8,1.2,3.9,956.8,958.2,42.0,27.0
2024-03-01 08:00:00+00:00,1.22,2.82,305.0,67.0,1.5,6.33,270.0,74.0,0.9,6.6,2.0,4.7,956.3,957.5,40.0,26.0
2024-03-01 09:00:00+00:00,1.65,2.53,284.0,72.0,2.32,5.6,263.0,74.0,1.3,5.8,2.3,5.1,955.8,957.1,40.0,27.0
2024-03-01 10:00:00+00:00,1.32,2.02,279.0,70.0,2.22,4.59,262.0,74.0,1.2,4.7,2.2,5.0,955.2,956.7,42.0,27.0
2024-03-01 11:00:00+00:00,1.39,1.94,291.0,78.0,2.53,3.83,279.0,75.0,1.7,4.0,1.9,4.5,954.5,956.2,44.0,30.0
2024-03-01 12:00:00+00:00,3.16,2.6,288.0,344.0,4.95,4.2,284.0,295.0,4.8,4.4,0.4,1.9,954.7,955.7,60.0,43.0
2024-03-01 13:00:00+00:00,3.11,2.82,266.0,276.0,4.8,4.47,270.0,280.0,4.7,4.3,-1.1,-1.1,955.0,955.3,68.0,63.0
2024-03-01 14:00:00+00:00,2.56,3.48,231.0,252.0,4.08,5.36,253.0,256.0,3.4,4.7,-1.6,-1.2,955.0,955.9,71.0,67.0
2024-03-01 15:00:00+00:00,1.99,2.2,252.0,240.0,3.03,3.86,262.0,253.0,2.1,2.6,-1.7,-1.5,954.6,955.1,73.0,71.0
2024-03-01 16:00:00+00:00,1.32,1.42,261.0,231.0,2.1,3.41,267.0,238.0,1.7,2.9,-1.8,-1.4,953.9,954.8,73.0,69.0
2024-03-01 17:00:00+00:00,1.92,2.25,298.0,291.0,2.28,3.18,293.0,283.0,2.0,2.5,-1.9,-1.5,953.6,954.5,73.0,69.0
2024-03-01 18:00:00+00:00,2.81,1.92,266.0,279.0,4.7,3.42,269.0,277.0,4.5,2.6,-2.4,-1.9,954.3,954.9,77.0,80.0
2024-03-01 19:00:00+00:00,2.42,1.02,240.0,259.0,4.14,2.04,250.0,259.0,4.0,1.5,-2.5,-2.2,954.0,954.4,77.0,81.0
2024-03-01 20:00:00+00:00,1.91,1.43,264.0,258.0,3.42,2.61,263.0,266.0,3.1,2.0,-2.4,-2.1,954.1,954.8,76.0,79.0
2024-03-01 21:00:00+00:00,1.92,1.7,279.0,270.0,3.31,2.6,273.0,268.0,2.9,2.0,-2.7,-2.3,953.6,954.6,77.0,80.0
2024-03-01 22:00:00+00:00,1.81,2.7,276.0,268.0,2.9,4.1,268.0,269.0,2.5,3.8,-2.9,-2.4,953.6,954.9,77.0,80.0
2024-03-01 23:00:00+00:00,1.7,2.5,270.0,254.0,2.62,4.33,263.0,263.0,2.2,4.4,-3.2,-2.7,953.1,954.8,78.0,82.0
2024-03-02 00:00:00+00:00,1.8,2.84,267.0,260.0,2.9,4.79,270.0,259.0,2.5,5.7,-4.0,-2.9,952.7,954.6,84.0,81.0
2024-03-02 01:00:00+00:00,3.01,2.88,264.0,250.0,4.46,4.84,261.0,252.0,4.4,5.5,-4.2,-3.2,953.2,954.6,83.0,82.0
2024-03-02 02:00:00+00:00,3.49,3.55,257.0,248.0,5.15,5.39,262.0,248.0,5.2,6.4,-4.5,-3.1,954.0,955.2,83.0,79.0
2024-03-02 03:00:00+00:00,3.4,4.38,246.0,243.0,3.96,5.82,260.0,251.0,4.2,6.3,-3.7,-2.3,954.0,955.3,77.0,70.0
2024-03-02 04:00:00+00:00,2.57,3.73,257.0,262.0,3.57,4.96,252.0,261.0,3.6,5.5,-2.3,-1.2,954.0,955.1,69.0,61.0
2024-03-02 05:00:00+00:00,3.01,3.95,285.0,261.0,3.52,5.3,277.0,259.0,3.5,5.6,-1.3,-0.4,953.6,954.9,65.0,56.0
2024-03-02 06:00:00+00:00,4.01,3.91,266.0,267.0,5.06,5.04,261.0,263.0,5.0,5.2,-0.4,0.3,953.7,953.8,62.0,54.0
2024-03-02 07:00:00+00:00,4.34,4.3,262.0,267.0,5.41,5.61,258.0,266.0,5.3,5.8,0.4,0.9,953.2,953.7,58.0,52.0
2024-03-02 08:00:00+00:00,5.12,5.02,266.0,257.0,6.45,6.45,263.0,257.0,6.3,6.4,1.0,1.2,952.6,953.4,55.0,52.0
2024-03-02 09:00:00+00:00,5.75,5.58,257.0,255.0,7.14,8.03,259.0,256.0,7.0,7.9,1.2,0.9,952.4,953.5,57.0,57.0
2024-03-02 10:00:00+00:00,5.94,5.68,257.0,256.0,8.44,8.3,256.0,255.0,8.0,8.3,1.0,0.7,952.5,953.2,62.0,59.0
2024-03-02 11:00:00+00:00,5.92,5.64,254.0,245.0,8.35,8.56,251.0,247.0,8.4,8.3,0.5,0.3,952.4,953.0,69.0,66.0
2024-03-02 12:00:00+00:00,4.65,4.59,261.0,254.0,6.71,6.58,260.0,250.0,8.3,7.7,-0.1,-0.0,952.4,953.0,69.0,72.0
2024-03-02 13:00:00+00:00,4.4,4.27,249.0,237.0,7.05,6.66,252.0,244.0,9.4,8.0,-1.2,-0.6,953.0,953.5,75.0,77.0
2024-03-02 14:00:00+00:00,4.27,4.09,237.0,248.0,7.35,6.48,248.0,250.0,9.8,8.3,-1.4,-0.7,953.2,953.5,80.0,78.0
