time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2026-01-01 00:00:00+00:00,6.6,6.55,256.0,254.0,10.83,10.55,258.0,257.0,1.3,1.4,958.3,958.1,97.0,98.0
2026-01-01 01:00:00+00:00,5.8,5.88,255.0,252.0,9.73,9.68,258.0,256.0,0.9,1.0,958.7,958.6,97.0,99.0
2026-01-01 02:00:00+00:00,5.0,4.94,254.0,249.0,8.46,8.35,256.0,253.0,0.6,0.8,959.1,959.1,97.0,99.0
2026-01-01 03:00:00+00:00,4.21,4.03,252.0,247.0,7.18,7.08,254.0,251.0,0.6,0.6,959.4,959.6,96.0,98.0
2026-01-01 04:00:00+00:00,3.61,3.38,251.0,251.0,5.85,5.85,253.0,253.0,0.8,0.8,959.7,959.8,95.0,97.0
2026-01-01 05:00:00+00:00,2.97,2.94,250.0,260.0,4.43,4.59,252.0,259.0,1.1,1.1,959.9,959.9,93.0,96.0
2026-01-01 06:00:00+00:00,2.25,2.4,249.0,270.0,2.97,3.41,250.0,265.0,1.5,1.3,959.9,959.9,91.0,95.0
2026-01-01 07:00:00+00:00,1.03,1.5,241.0,270.0,1.34,2.21,243.0,265.0,1.8,1.4,959.4,959.6,88.0,95.0
2026-01-01 08:00:00+00:00,0.51,0.51,101.0,259.0,0.54,0.95,112.0,252.0,2.1,1.5,958.7,959.1,84.0,94.0
2026-01-01 09:00:00+00:00,1.5,0.41,86.0,104.0,1.81,0.51,84.0,101.0,2.1,1.4,958.0,958.5,82.0,93.0
2026-01-01 10:00:00+00:00,1.71,1.24,83.0,76.0,2.86,2.38,78.0,75.0,1.7,1.1,957.3,957.9,82.0,89.0
2026-01-01 11:00:00+00:00,1.51,2.15,82.0,68.0,3.61,4.55,76.0,71.0,0.9,0.8,956.5,957.3,82.0,84.0
2026-01-01 12:00:00+00:00,1.1,2.55,85.0,64.0,3.67,5.92,73.0,68.0,0.2,0.4,956.0,956.7,84.0,81.0
2026-01-01 13:00:00+00:00,0.3,2.28,90.0,61.0,2.51,5.87,67.0,67.0,-0.5,-0.1,955.7,956.2,87.0,80.0
2026-01-01 14:00:00+00:00,0.71,1.66,262.0,57.0,0.76,5.1,23.0,64.0,-1.1,-0.5,955.4,955.9,90.0,80.0
2026-01-01 15:00:00+00:00,1.43,1.06,258.0,49.0,1.24,4.16,284.0,63.0,-1.5,-1.0,955.2,955.5,93.0,82.0
2026-01-01 16:00:00+00:00,1.68,0.71,253.0,45.0,1.81,3.58,264.0,63.0,-1.8,-1.4,955.1,955.2,95.0,86.0
2026-01-01 17:00:00+00:00,1.7,0.36,242.0,56.0,2.12,2.82,251.0,67.0,-1.9,-1.7,954.8,954.7,97.0,91.0
2026-01-01 18:00:00+00:00,1.66,0.0,237.0,270.0,2.24,2.02,243.0,70.0,-1.9,-2.0,954.8,954.5,98.0,95.0
2026-01-01 19:00:00+00:00,1.39,0.51,240.0,259.0,2.19,0.81,246.0,60.0,-1.6,-2.1,954.8,954.4,99.0,97.0
2026-01-01 20:00:00+00:00,1.04,1.0,253.0,264.0,1.87,0.6,254.0,270.0,-1.3,-2.0,954.9,954.6,99.0,98.0
2026-01-01 21:00:00+00:00,0.7,1.2,270.0,265.0,1.53,1.41,259.0,262.0,-1.0,-2.0,955.0,954.8,99.0,99.0
2026-01-01 22:00:00+00:00,0.4,0.81,270.0,263.0,1.21,1.26,246.0,252.0,-0.8,-1.8,955.0,955.0,99.0,99.0
2026-01-01 23:00:00+00:00,0.1,0.2,180.0,180.0,1.06,0.58,221.0,211.0,-0.8,-1.6,955.0,955.1,98.0,98.0
2026-01-02 00:00:00+00:00,0.32,0.63,108.0,108.0,1.04,0.64,197.0,141.0,-0.8,-1.5,955.1,955.2,98.0,97.0
2026-01-02 01:00:00+00:00,0.4,0.82,90.0,104.0,0.91,0.94,186.0,122.0,-1.0,-1.7,955.3,955.5,98.0,97.0
2026-01-02 02:00:00+00:00,0.51,0.91,79.0,96.0,0.6,1.21,180.0,114.0,-1.2,-1.9,955.7,955.8,98.0,97.0
2026-01-02 03:00:00+00:00,0.95,1.2,72.0,85.0,0.73,1.63,106.0,101.0,-1.1,-1.9,955.9,956.0,97.0,95.0
2026-01-02 04:00:00+00:00,2.12,1.96,71.0,75.0,2.45,2.62,78.0,83.0,-0.5,-1.1,955.9,956.1,93.0,90.0
2026-01-02 05:00:00+00:00,3.7,2.94,71.0,72.0,4.71,3.83,73.0,75.0,0.5,0.0,956.0,956.1,88.0,84.0
2026-01-02 06:00:00+00:00,4.78,3.73,70.0,70.0,6.42,4.87,72.0,71.0,1.2,1.0,955.9,956.0,83.0,79.0
2026-01-02 07:00:00+00:00,5.13,4.09,69.0,68.0,6.86,5.31,71.0,70.0,1.8,1.6,955.6,955.7,80.0,76.0
2026-01-02 08:00:00+00:00,5.03,4.09,69.0,68.0,6.8,5.44,70.0,70.0,2.1,2.0,955.3,955.2,77.0,75.0
2026-01-02 09:00:00+00:00,4.75,4.12,68.0,67.0,6.61,5.66,70.0,69.0,2.1,2.1,955.2,955.0,77.0,76.0
2026-01-02 10:00:00+00:00,4.3,4.16,65.0,66.0,6.61,6.3,70.0,70.0,1.4,1.6,955.4,955.2,81.0,80.0
2026-01-02 11:00:00+00:00,3.76,4.16,61.0,63.0,6.52,7.12,69.0,70.0,0.2,0.8,955.7,955.7,88.0,86.0
2026-01-02 12:00:00+00:00,3.41,4.21,58.0,62.0,6.65,7.75,69.0,70.0,-0.6,0.1,955.9,956.1,93.0,91.0
2026-01-02 13:00:00+00:00,3.5,4.38,59.0,63.0,6.96,8.1,69.0,70.0,-1.0,-0.2,955.9,956.3,94.0,92.0
2026-01-02 14:00:00+00:00,3.71,4.52,63.0,65.0,7.32,8.42,68.0,70.0,-1.0,-0.3,955.7,956.4,94.0,92.0
2026-01-02 15:00:00+00:00,3.98,4.7,65.0,66.0,7.85,8.64,68.0,70.0,-1.0,-0.4,955.6,956.3,93.0,91.0
2026-01-02 16:00:00+00:00,4.43,4.88,65.0,67.0,8.45,9.01,69.0,71.0,-0.7,-0.7,955.5,956.1,91.0,91.0
2026-01-02 17:00:00+00:00,4.88,5.11,64.0,67.0,9.05,9.39,70.0,71.0,-0.4,-1.0,955.4,955.8,88.0,91.0
2026-01-02 18:00:00+00:00,5.19,5.24,65.0,66.0,9.55,9.71,70.0,71.0,-0.2,-1.3,955.4,955.6,86.0,91.0
2026-01-02 19:00:00+00:00,5.24,5.41,66.0,65.0,9.74,9.96,71.0,71.0,-0.4,-1.5,955.4,955.6,87.0,91.0
2026-01-02 20:00:00+00:00,5.2,5.5,67.0,63.0,9.71,10.16,71.0,69.0,-0.8,-1.6,955.5,955.7,89.0,90.0
2026-01-02 21:00:00+00:00,5.16,5.64,68.0,63.0,9.68,10.32,72.0,68.0,-1.2,-1.7,955.7,955.8,90.0,90.0
