time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2025-05-01 00:00:00+00:00,4.18,5.25,281.0,262.0,7.51,8.99,273.0,262.0,15.3,14.8,951.7,951.9,49.0,44.0
2025-05-01 01:00:00+00:00,4.36,5.06,279.0,261.0,7.21,8.2,273.0,261.0,16.2,15.7,952.0,952.1,45.0,41.0
2025-05-01 02:00:00+00:00,4.51,4.67,274.0,260.0,6.7,6.81,271.0,260.0,17.9,17.1,952.6,952.4,40.0,38.0
2025-05-01 03:00:00+00:00,4.6,4.55,271.0,261.0,6.2,5.98,269.0,260.0,19.6,18.7,952.8,952.7,35.0,35.0
2025-05-01 04:00:00+00:00,4.2,4.84,271.0,263.0,5.4,6.26,270.0,262.0,21.3,20.4,952.4,952.7,33.0,33.0
2025-05-01 05:00:00+00:00,3.61,5.42,275.0,265.0,4.51,7.05,274.0,263.0,23.1,22.2,951.7,952.6,33.0,31.0
2025-05-01 06:00:00+00:00,3.61,6.12,275.0,265.0,4.51,8.04,274.0,264.0,24.6,23.7,951.1,952.5,32.0,30.0
2025-05-01 07:00:00+00:00,4.6,7.03,271.0,265.0,5.9,9.35,270.0,264.0,25.8,24.7,950.5,952.1,31.0,30.0
2025-05-01 08:00:00+00:00,6.21,8.14,267.0,264.0,8.11,10.87,267.0,264.0,26.6,25.3,950.1,951.7,31.0,30.0
2025-05-01 09:00:00+00:00,7.52,8.86,265.0,264.0,10.04,11.98,265.0,263.0,27.0,25.6,949.7,951.3,30.0,30.0
2025-05-01 10:00:00+00:00,8.26,8.96,263.0,264.0,11.2,12.28,262.0,263.0,26.7,25.6,949.8,951.0,27.0,29.0
2025-05-01 11:00:00+00:00,8.71,8.75,261.0,264.0,12.07,12.16,260.0,264.0,25.9,25.3,950.0,950.8,24.0,27.0
2025-05-01 12:00:00+00:00,8.73,8.26,260.0,263.0,12.38,11.78,260.0,263.0,24.9,24.6,950.5,950.9,23.0,28.0
2025-05-01 13:00:00+00:00,8.05,7.67,264.0,258.0,11.85,11.32,265.0,259.0,23.7,23.4,951.3,951.3,25.0,32.0
2025-05-01 14:00:00+00:00,7.1,6.89,271.0,251.0,10.81,10.91,273.0,252.0,22.2,21.9,952.4,951.9,30.0,38.0
2025-05-01 15:00:00+00:00,6.22,6.08,275.0,245.0,9.97,10.14,277.0,248.0,20.9,20.5,953.1,952.5,34.0,44.0
2025-05-01 16:00:00+00:00,5.6,4.92,269.0,246.0,9.1,8.65,271.0,248.0,19.9,19.4,953.3,952.7,38.0,48.0
2025-05-01 17:00:00+00:00,5.12,3.64,258.0,254.0,8.37,6.89,258.0,251.0,19.0,18.4,953.3,952.8,43.0,51.0
2025-05-01 18:00:00+00:00,4.88,2.82,247.0,264.0,8.08,5.7,248.0,255.0,18.1,17.5,953.1,952.8,47.0,55.0
2025-05-01 19:00:00+00:00,4.61,2.72,243.0,264.0,7.7,5.65,245.0,257.0,17.3,16.4,952.9,952.7,50.0,60.0
2025-05-01 20:00:00+00:00,4.16,2.94,243.0,260.0,7.34,6.14,246.0,258.0,16.4,15.4,952.7,952.7,52.0,64.0
2025-05-01 21:00:00+00:00,3.85,3.2,242.0,256.0,7.04,6.55,247.0,258.0,15.8,14.8,952.7,952.7,55.0,67.0
2025-05-01 22:00:00+00:00,3.76,3.07,241.0,251.0,7.04,6.38,247.0,256.0,15.1,14.6,952.7,952.7,60.0,67.0
2025-05-01 23:00:00+00:00,3.62,2.86,242.0,245.0,7.04,6.11,247.0,255.0,14.6,14.8,952.8,953.0,65.0,65.0
2025-05-02 00:00:00+00:00,3.67,2.95,244.0,246.0,6.96,5.99,249.0,255.0,14.8,15.6,953.1,953.3,66.0,63.0
2025-05-02 01:00:00+00:00,3.68,3.54,248.0,254.0,6.45,6.22,251.0,259.0,16.0,17.2,953.8,954.0,61.0,60.0
2025-05-02 02:00:00+00:00,3.89,4.46,252.0,261.0,5.82,6.74,254.0,264.0,17.9,19.3,954.6,954.9,52.0,56.0
2025-05-02 03:00:00+00:00,4.3,5.41,258.0,266.0,5.81,7.41,259.0,268.0,19.7,21.1,955.2,955.6,45.0,52.0
2025-05-02 04:00:00+00:00,5.12,6.3,264.0,268.0,6.74,8.4,264.0,269.0,21.4,22.3,955.3,955.9,41.0,48.0
2025-05-02 05:00:00+00:00,6.3,7.2,269.0,269.0,8.3,9.5,269.0,269.0,23.0,23.2,955.1,955.9,39.0,44.0
2025-05-02 06:00:00+00:00,7.21,7.8,272.0,270.0,9.6,10.4,272.0,270.0,24.1,23.8,954.9,955.9,38.0,41.0
2025-05-02 07:00:00+00:00,7.76,8.1,277.0,271.0,10.38,10.9,277.0,271.0,24.5,23.8,954.5,955.7,37.0,40.0
2025-05-02 08:00:00+00:00,8.18,8.3,282.0,271.0,10.99,11.11,283.0,273.0,24.5,23.5,954.1,955.3,37.0,40.0
2025-05-02 09:00:00+00:00,8.3,8.31,283.0,272.0,11.23,11.32,284.0,273.0,23.8,22.8,953.9,955.2,41.0,42.0
2025-05-02 10:00:00+00:00,7.82,8.31,274.0,272.0,10.84,11.51,275.0,272.0,22.2,21.7,954.0,955.2,51.0,47.0
2025-05-02 11:00:00+00:00,7.28,8.2,261.0,271.0,10.75,11.7,260.0,270.0,20.0,20.4,954.4,955.3,65.0,54.0
2025-05-02 12:00:00+00:00,7.43,7.9,253.0,271.0,11.32,11.6,253.0,269.0,18.1,19.0,955.0,955.5,75.0,61.0
2025-05-02 13:00:00+00:00,8.1,7.3,257.0,269.0,12.42,10.91,257.0,268.0,17.1,17.8,955.8,956.3,80.0,67.0
2025-05-02 14:00:00+00:00,9.14,6.6,265.0,268.0,13.94,10.01,266.0,267.0,16.5,16.7,956.8,957.5,81.0,73.0
2025-05-02 15:00:00+00:00,9.7,6.0,270.0,268.0,14.9,9.3,271.0,268.0,15.9,15.8,957.6,958.3,82.0,77.0
2025-05-02 16:00:00+00:00,9.4,5.91,271.0,274.0,14.6,9.33,271.0,275.0,15.5,15.4,958.1,958.8,82.0,78.0
2025-05-02 17:00:00+00:00,8.5,6.04,269.0,282.0,13.4,9.85,270.0,283.0,15.1,15.2,958.4,959.0,81.0,78.0
2025-05-02 18:00:00+00:00,7.42,5.89,266.0,285.0,12.01,9.85,268.0,285.0,14.8,15.0,958.5,959.2,81.0,78.0
2025-05-02 19:00:00+00:00,6.02,4.71,259.0,274.0,10.18,8.45,263.0,276.0,14.3,14.4,958.4,959.1,85.0,79.0
2025-05-02 20:00:00+00:00,4.65,3.81,245.0,247.0,8.2,7.23,254.0,256.0,13.7,13.7,958.1,958.8,90.0,79.0
2025-05-02 21:00:00+00:00,3.91,3.75,230.0,224.0,6.99,6.96,246.0,238.0,13.3,13.2,958.2,958.7,92.0,80.0
2025-05-02 22:00:00+00:00,3.7,3.69,232.0,221.0,6.85,6.96,247.0,235.0,12.9,12.6,958.5,958.9,90.0,81.0
2025-05-02 23:00:00+00:00,3.8,3.54,243.0,227.0,7.37,6.83,252.0,238.0,12.6,12.2,959.2,959.1,84.0,83.0
2025-05-03 00:00:00+00:00,3.98,3.41,252.0,238.0,7.52,6.57,256.0,244.0,13.0,12.5,959.9,959.5,77.0,81.0
2025-05-03 01:00:00+00:00,3.98,3.61,258.0,251.0,6.82,6.32,259.0,252.0,14.6,13.8,960.6,959.8,67.0,75.0
2025-05-03 02:00:00+00:00,3.82,4.03,264.0,263.0,5.76,6.07,262.0,261.0,16.9,15.8,961.2,960.1,55.0,66.0
2025-05-03 03:00:00+00:00,3.6,3.9,268.0,270.0,4.71,5.2,266.0,269.0,19.0,17.9,961.5,960.2,44.0,56.0
2025-05-03 04:00:00+00:00,3.11,2.32,276.0,277.0,3.91,3.01,273.0,276.0,20.7,19.8,961.3,960.0,35.0,45.0
2025-05-03 05:00:00+00:00,2.57,0.41,283.0,14.0,3.16,0.51,281.0,349.0,22.2,21.8,960.7,959.7,26.0,34.0
2025-05-03 06:00:00+00:00,1.8,1.94,289.0,78.0,2.21,2.26,288.0,77.0,23.5,23.4,960.0,959.2,20.0,25.0
2025-05-03 07:00:00+00:00,0.6,2.72,270.0,84.0,0.71,3.31,278.0,85.0,24.5,24.3,959.3,958.5,16.0,19.0
2025-05-03 08:00:00+00:00,1.06,3.0,139.0,90.0,1.2,3.7,138.0,90.0,25.3,24.9,958.6,957.8,14.0,16.0
2025-05-03 09:00:00+00:00,2.2,3.11,129.0,94.0,2.5,3.81,127.0,93.0,25.8,25.3,957.9,957.1,12.0,13.0
2025-05-03 10:00:00+00:00,2.52,2.92,124.0,96.0,2.8,3.52,125.0,97.0,26.3,25.6,957.3,956.7,10.0,10.0
2025-05-03 11:00:00+00:00,2.37,2.53,118.0,99.0,2.64,2.96,119.0,102.0,26.5,25.8,956.8,956.5,9.0,8.0
2025-05-03 12:00:00+00:00,2.4,2.32,107.0,97.0,2.91,2.93,106.0,98.0,26.2,25.4,956.3,956.2,9.0,8.0
2025-05-03 13:00:00+00:00,2.8,2.5,90.0,88.0,4.4,4.11,89.0,86.0,25.0,24.3,956.1,955.8,10.0,10.0
2025-05-03 14:00:00+00:00,3.59,2.98,77.0,76.0,6.61,5.92,80.0,78.0,23.2,22.6,955.8,955.3,11.0,14.0
2025-05-03 15:00:00+00:00,4.37,3.51,70.0,70.0,8.49,7.5,75.0,74.0,21.7,21.1,955.6,954.9,13.0,18.0
2025-05-03 16:00:00+00:00,5.11,3.9,67.0,67.0,9.71,8.16,71.0,71.0,20.5,19.9,955.2,954.6,14.0,20.0
2025-05-03 17:00:00+00:00,5.95,4.25,65.0,66.0,10.64,8.39,68.0,68.0,19.6,18.9,954.7,954.4,15.0,21.0
2025-05-03 18:00:00+00:00,6.53,4.7,65.0,66.0,11.42,8.96,67.0,66.0,18.7,18.0,954.3,954.1,17.0,23.0
2025-05-03 19:00:00+00:00,6.98,5.59,65.0,66.0,11.92,10.02,67.0,65.0,17.9,17.5,953.8,953.7,22.0,26.0
2025-05-03 20:00:00+00:00,7.25,6.58,66.0,66.0,12.26,11.32,68.0,65.0,17.2,17.2,953.3,953.2,29.0,30.0
2025-05-03 21:00:00+00:00,7.43,7.25,66.0,66.0,12.37,12.17,70.0,66.0,16.5,16.8,952.9,952.8,35.0,34.0
2025-05-03 22:00:00+00:00,7.3,7.3,67.0,67.0,12.24,12.33,70.0,68.0,15.6,15.9,952.6,952.6,41.0,38.0
2025-05-03 23:00:00+00:00,7.12,7.13,66.0,68.0,11.99,12.02,71.0,70.0,14.8,15.0,952.3,952.6,46.0,42.0
2025-05-04 00:00:00+00:00,6.99,7.09,66.0,68.0,11.67,11.8,70.0,72.0,14.6,14.7,952.2,952.6,48.0,43.0
2025-05-04 01:00:00+00:00,7.21,7.35,66.0,68.0,11.39,11.64,70.0,71.0,15.3,15.4,952.1,952.5,45.0,40.0
2025-05-04 02:00:00+00:00,7.43,7.75,66.0,66.0,11.14,11.33,69.0,69.0,16.6,16.8,952.2,952.5,39.0,35.0
2025-05-04 03:00:00+00:00,7.62,7.97,67.0,66.0,10.73,11.18,69.0,68.0,18.3,18.5,952.2,952.2,33.0,30.0
2025-05-04 04:00:00+00:00,7.6,8.17,69.0,68.0,10.41,11.17,70.0,70.0,20.2,20.7,951.9,951.9,28.0,24.0
2025-05-04 05:00:00+00:00,7.34,8.25,73.0,71.0,9.9,11.2,74.0,73.0,22.5,23.3,951.5,951.5,22.0,19.0
2025-05-04 06:00:00+00:00,6.91,7.91,76.0,74.0,9.17,10.65,76.0,75.0,24.5,25.6,950.9,951.0,18.0,14.0
2025-05-04 07:00:00+00:00,6.02,6.77,79.0,77.0,7.84,8.98,79.0,78.0,26.2,27.4,950.3,950.5,15.0,11.0
2025-05-04 08:00:00+00:00,4.84,5.14,83.0,83.0,6.15,6.64,83.0,84.0,27.8,29.0,949.8,950.0,13.0,10.0
