time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,wind_gusts_10m@pd2,wind_gusts_10m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2024-03-01 00:00:00+00:00,1.91,2.1,264.0,267.0,2.46,2.59,275.0,281.0,2.8,3.3,-5.9,-4.7,956.8,954.5,83.0,81.0
2024-03-01 01:00:00+00:00,2.32,1.71,263.0,263.0,3.56,2.46,278.0,275.0,3.5,3.1,-6.6,-5.0,957.0,954.6,82.0,82.0
2024-03-01 02:00:00+00:00,2.33,1.4,260.0,266.0,4.04,1.68,276.0,277.0,3.8,2.6,-6.4,-5.3,957.6,954.9,81.0,83.0
2024-03-01 03:00:00+00:00,2.5,1.84,270.0,283.0,3.38,1.58,280.0,277.0,4.0,2.9,-5.5,-4.3,958.1,955.2,81.0,84.0
2024-03-01 04:00:00+00:00,2.4,2.34,287.0,290.0,2.64,1.81,285.0,283.0,4.2,4.0,-4.6,-3.1,957.9,955.4,83.0,77.0
2024-03-01 05:00:00+00:00,2.37,2.36,298.0,306.0,2.46,2.23,293.0,285.0,4.4,4.4,-3.4,-1.7,957.6,955.4,81.0,76.0
2024-03-01 06:00:00+00:00,2.53,1.86,288.0,306.0,2.73,1.9,285.0,305.0,4.7,3.7,-1.3,-0.0,957.6,955.4,76.0,68.0
2024-03-01 07:00:00+00:00,2.66,1.39,290.0,300.0,2.79,1.31,288.0,297.0,4.8,3.7,-0.0,1.3,956.9,954.7,69.0,62.0
2024-03-01 08:00:00+00:00,2.82,1.41,293.0,315.0,2.91,1.39,290.0,315.0,5.1,3.2,0.9,2.7,956.1,953.7,67.0,60.0
2024-03-01 09:00:00+00:00,2.67,1.72,283.0,306.0,2.79,1.58,280.0,300.0,5.1,3.6,1.7,3.4,955.3,953.1,65.0,58.0
2024-03-01 10:00:00+00:00,3.06,2.19,281.0,294.0,3.08,2.11,279.0,292.0,4.7,3.7,1.8,3.7,954.8,952.6,65.0,56.0
2024-03-01 11:00:00+00:00,3.14,3.18,279.0,283.0,3.25,3.27,275.0,279.0,4.8,5.0,1.3,3.4,954.1,952.5,67.0,59.0
2024-03-01 12:00:00+00:00,4.68,3.51,254.0,265.0,5.55,4.19,253.0,259.0,8.1,5.6,-0.3,1.3,953.8,953.1,72.0,67.0
2024-03-01 13:00:00+00:00,3.91,3.3,257.0,272.0,5.04,5.01,257.0,266.0,7.1,5.6,-0.9,0.1,953.4,953.3,76.0,75.0
2024-03-01 14:00:00+00:00,4.41,3.72,257.0,264.0,6.32,5.94,257.0,261.0,6.9,6.2,-1.5,-0.4,953.8,953.7,78.0,76.0
2024-03-01 15:00:00+00:00,4.9,3.79,253.0,258.0,7.46,6.57,256.0,260.0,7.6,6.2,-2.0,-1.2,954.5,953.9,79.0,79.0
2024-03-01 16:00:00+00:00,4.74,4.2,245.0,245.0,7.68,6.91,251.0,249.0,7.6,6.9,-2.7,-1.7,954.7,954.2,79.0,78.0
2024-03-01 17:00:00+00:00,4.49,4.36,238.0,238.0,7.45,7.5,245.0,246.0,7.4,7.3,-3.0,-2.2,954.5,954.5,80.0,77.0
2024-03-01 18:00:00+00:00,3.94,4.11,243.0,244.0,6.7,7.35,249.0,249.0,6.6,7.0,-3.9,-2.9,954.9,953.6,85.0,77.0
2024-03-01 19:00:00+00:00,4.17,4.1,240.0,236.0,6.54,7.45,246.0,243.0,6.7,7.0,-4.1,-3.2,955.0,953.4,82.0,76.0
2024-03-01 20:00:00+00:00,3.58,3.72,240.0,239.0,6.06,6.97,247.0,246.0,6.6,7.0,-4.2,-3.2,954.9,953.2,80.0,73.0
2024-03-01 21:00:00+00:00,3.26,3.55,243.0,248.0,5.89,6.57,249.0,250.0,5.7,6.2,-4.5,-3.3,954.8,953.0,81.0,73.0
2024-03-01 22:00:00+00:00,2.64,3.94,241.0,246.0,5.09,7.04,247.0,249.0,5.3,6.4,-4.8,-3.6,954.1,953.1,81.0,74.0
2024-03-01 23:00:00+00:00,2.28,4.17,247.0,240.0,4.66,7.5,248.0,246.0,4.3,6.9,-5.1,-4.0,954.0,953.4,81.0,74.0
2024-03-02 00:00:00+00:00,2.82,3.2,243.0,250.0,5.79,5.89,246.0,252.0,5.1,5.4,-5.6,-4.8,954.0,954.0,85.0,83.0
2024-03-02 01:00:00+00:00,2.97,2.87,237.0,241.0,5.92,5.48,243.0,246.0,5.0,5.3,-5.9,-5.2,954.4,953.9,86.0,84.0
2024-03-02 02:00:00+00:00,2.8,2.73,235.0,242.0,5.61,5.39,241.0,245.0,4.9,4.8,-5.7,-5.2,955.0,954.3,85.0,83.0
2024-03-02 03:00:00+00:00,3.31,3.23,241.0,248.0,5.57,5.09,242.0,247.0,5.4,5.4,-4.0,-3.9,955.5,954.5,79.0,77.0
2024-03-02 04:00:00+00:00,3.94,3.81,240.0,256.0,4.35,4.21,239.0,252.0,6.0,6.0,-2.4,-2.7,955.6,954.6,71.0,72.0
2024-03-02 05:00:00+00:00,4.78,4.81,250.0,258.0,5.19,5.25,248.0,256.0,7.2,7.5,-1.1,-1.4,955.2,955.0,64.0,67.0
2024-03-02 06:00:00+00:00,3.88,4.97,258.0,255.0,4.16,5.42,255.0,253.0,6.2,7.8,-0.4,-0.6,954.5,953.9,68.0,65.0
2024-03-02 07:00:00+00:00,3.82,5.58,264.0,255.0,4.06,6.14,262.0,253.0,6.3,8.7,0.5,0.4,953.7,953.3,63.0,61.0
2024-03-02 08:00:00+00:00,4.02,5.89,264.0,255.0,4.25,6.42,262.0,254.0,6.3,9.2,1.3,1.1,953.2,952.8,60.0,59.0
2024-03-02 09:00:00+00:00,4.4,6.48,267.0,257.0,4.73,7.37,264.0,256.0,6.8,10.2,1.6,1.4,952.7,952.5,58.0,58.0
2024-03-02 10:00:00+00:00,4.74,6.93,263.0,252.0,5.15,8.33,261.0,252.0,7.2,10.9,1.3,1.1,952.2,952.3,60.0,57.0
2024-03-02 11:00:00+00:00,4.83,6.99,257.0,251.0,5.56,8.89,256.0,251.0,7.5,11.1,0.7,0.4,951.7,952.2,63.0,61.0
2024-03-02 12:00:00+00:00,5.03,5.52,249.0,248.0,6.82,7.2,249.0,248.0,7.8,8.5,0.2,0.5,951.9,952.4,65.0,63.0
2024-03-02 13:00:00+00:00,5.52,5.23,248.0,244.0,8.21,8.17,250.0,247.0,8.1,8.3,-0.2,-0.0,952.6,952.9,71.0,69.0
2024-03-02 14:00:00+00:00,5.72,5.46,243.0,244.0,8.52,8.26,247.0,248.0,8.7,8.3,-0.5,-0.2,952.9,953.2,71.0,70.0
2024-03-02 15:00:00+00:00,5.47,4.8,239.0,239.0,8.92,8.07,247.0,246.0,8.4,8.1,-0.7,-0.5,952.9,952.9,73.0,73.0
2024-03-02 16:00:00+00:00,5.33,4.72,236.0,238.0,8.72,8.25,245.0,246.0,8.2,7.5,-0.8,-0.6,952.8,953.0,73.0,72.0
2024-03-02 17:00:00+00:00,5.05,4.86,236.0,233.0,8.7,8.32,247.0,243.0,8.1,7.5,-0.8,-0.9,952.5,952.9,74.0,74.0
2024-03-02 18:00:00+00:00,5.22,5.97,234.0,239.0,8.99,10.28,246.0,248.0,8.1,9.4,-1.6,-1.7,952.8,951.3,74.0,74.0
2024-03-02 19:00:00+00:00,5.31,5.97,227.0,239.0,8.99,10.3,241.0,249.0,8.2,9.4,-1.6,-1.8,952.9,951.2,76.0,75.0
2024-03-02 20:00:00+00:00,5.11,6.19,230.0,236.0,8.85,10.36,244.0,247.0,8.1,9.6,-1.6,-1.6,953.1,951.5,78.0,74.0
2024-03-02 21:00:00+00:00,4.9,6.49,231.0,236.0,7.94,10.57,246.0,247.0,7.8,9.7,-1.5,-1.5,953.0,951.6,80.0,75.0
2024-03-02 22:00:00+00:00,5.06,6.14,232.0,240.0,8.06,10.35,244.0,250.0,7.9,9.7,-1.5,-1.6,953.0,951.6,82.0,76.0
2024-03-02 23:00:00+00:00,4.63,6.22,237.0,242.0,7.72,10.5,250.0,252.0,7.8,9.5,-1.6,-1.7,953.1,951.8,83.0,77.0
2024-03-03 00:00:00+00:00,3.77,5.33,238.0,247.0,6.23,8.44,254.0,257.0,6.1,8.6,-1.7,-1.5,952.4,952.2,90.0,87.0
2024-03-03 01:00:00+00:00,3.89,5.19,244.0,251.0,6.63,8.23,257.0,261.0,6.0,8.5,-1.7,-1.8,952.5,952.6,91.0,90.0
2024-03-03 02:00:00+00:00,4.22,5.2,248.0,247.0,7.21,8.4,258.0,259.0,6.5,8.1,-1.6,-1.8,953.3,953.2,91.0,89.0
2024-03-03 03:00:00+00:00,4.68,5.61,254.0,248.0,7.26,8.44,260.0,257.0,7.0,8.5,-1.3,-1.4,954.0,953.8,91.0,88.0
2024-03-03 04:00:00+00:00,5.43,6.26,257.0,253.0,6.61,7.7,258.0,255.0,8.1,9.5,-0.9,-0.8,954.3,954.4,87.0,83.0
2024-03-03 05:00:00+00:00,6.01,6.55,252.0,258.0,7.16,8.05,253.0,260.0,9.0,10.1,-0.5,-0.2,954.3,954.6,82.0,78.0
2024-03-03 06:00:00+00:00,5.08,7.09,260.0,248.0,5.78,8.21,259.0,250.0,7.8,11.0,-0.2,0.4,954.6,955.1,79.0,77.0
2024-03-03 07:00:00+00:00,5.79,7.64,260.0,256.0,6.57,8.84,260.0,257.0,8.8,11.9,-0.1,1.0,954.7,955.3,79.0,70.0
2024-03-03 08:00:00+00:00,6.62,8.25,255.0,264.0,7.77,9.73,256.0,265.0,10.2,12.8,-0.1,1.2,954.6,955.1,78.0,62.0
2024-03-03 09:00:00+00:00,7.06,8.44,249.0,265.0,8.43,10.41,250.0,266.0,10.9,13.1,-0.0,1.0,955.1,955.5,78.0,60.0
2024-03-03 10:00:00+00:00,7.18,8.66,254.0,263.0,8.79,10.92,256.0,265.0,11.0,13.6,-0.1,0.7,955.3,956.1,79.0,59.0
2024-03-03 11:00:00+00:00,6.94,8.17,245.0,262.0,8.84,10.73,249.0,264.0,11.1,13.4,-0.4,0.3,955.9,956.9,80.0,61.0
2024-03-03 12:00:00+00:00,5.26,6.87,249.0,257.0,7.25,9.7,254.0,262.0,9.4,12.0,-0.1,-0.2,956.3,956.8,70.0,66.0
2024-03-03 13:00:00+00:00,4.52,6.07,245.0,250.0,7.07,9.11,253.0,258.0,8.0,10.2,-0.2,-0.4,957.0,957.3,72.0,70.0
2024-03-03 14:00:00+00:00,4.31,5.72,248.0,243.0,7.04,9.14,257.0,253.0,6.8,9.1,-0.5,-0.8,957.4,957.6,74.0,75.0
2024-03-03 15:00:00+00:00,4.31,5.28,248.0,241.0,7.3,8.95,258.0,252.0,6.7,8.5,-0.8,-0.9,957.9,958.1,76.0,76.0
2024-03-03 16:00:00+00:00,4.47,4.84,243.0,240.0,7.13,8.65,254.0,254.0,6.8,7.8,-1.0,-1.2,958.2,958.6,80.0,77.0
2024-03-03 17:00:00+00:00,4.34,4.53,241.0,239.0,6.82,8.2,252.0,255.0,6.7,7.3,-1.3,-1.6,958.4,958.8,84.0,80.0
2024-03-03 18:00:00+00:00,3.62,3.96,246.0,227.0,5.67,6.92,252.0,243.0,6.2,6.9,-1.4,-1.8,958.6,959.2,90.0,75.0
2024-03-03 19:00:00+00:00,3.09,3.32,241.0,224.0,5.06,6.05,248.0,241.0,5.8,5.9,-1.5,-1.9,958.9,959.2,89.0,74.0
2024-03-03 20:00:00+00:00,2.87,2.76,241.0,224.0,4.84,5.23,249.0,240.0,4.9,5.1,-1.5,-1.9,959.3,959.3,89.0,72.0
2024-03-03 21:00:00+00:00,2.69,2.13,239.0,221.0,4.7,4.19,247.0,237.0,4.6,4.4,-1.5,-1.9,959.5,959.3,89.0,72.0
2024-03-03 22:00:00+00:00,2.55,1.5,228.0,217.0,4.35,3.13,239.0,238.0,4.4,3.4,-1.5,-2.0,959.6,959.3,88.0,72.0
2024-03-03 23:00:00+00:00,2.33,1.02,223.0,191.0,4.19,2.04,233.0,235.0,4.1,2.4,-1.7,-2.0,959.7,959.5,87.0,72.0
2024-03-04 00:00:00+00:00,0.57,3.2,225.0,219.0,2.24,4.76,247.0,238.0,2.3,5.2,-2.5,-2.1,960.1,959.6,74.0,83.0
2024-03-04 01:00:00+00:00,0.41,2.92,104.0,218.0,1.08,4.54,270.0,237.0,1.1,4.8,-2.6,-2.4,960.6,960.0,74.0,83.0
2024-03-04 02:00:00+00:00,1.1,2.75,95.0,213.0,0.49,4.21,37.0,234.0,1.7,4.5,-3.1,-2.4,961.5,960.5,78.0,82.0
2024-03-04 03:00:00+00:00,1.41,2.62,82.0,227.0,1.55,3.78,72.0,239.0,2.1,4.3,-2.4,-1.3,962.3,960.9,80.0,76.0
2024-03-04 04:00:00+00:00,2.2,2.96,60.0,258.0,2.28,3.16,65.0,254.0,3.6,4.5,-1.3,-0.7,962.6,961.2,67.0,73.0
2024-03-04 05:00:00+00:00,2.78,2.5,52.0,272.0,2.83,2.55,56.0,266.0,4.6,4.5,-0.5,-0.2,962.7,961.5,60.0,71.0
2024-03-04 06:00:00+00:00,3.12,2.11,50.0,265.0,3.23,2.27,55.0,263.0,5.5,4.4,1.0,0.1,963.2,962.0,54.0,69.0
2024-03-04 07:00:00+00:00,3.41,2.1,58.0,270.0,3.6,2.16,61.0,267.0,5.8,4.0,2.2,1.1,963.2,962.0,52.0,62.0
2024-03-04 08:00:00+00:00,2.6,2.0,67.0,270.0,2.79,2.16,72.0,267.0,5.8,4.0,3.0,1.9,962.8,961.6,49.0,57.0
2024-03-04 09:00:00+00:00,2.24,2.82,63.0,276.0,2.33,2.95,68.0,276.0,4.9,4.7,3.6,2.3,962.7,961.6,45.0,55.0
2024-03-04 10:00:00+00:00,2.55,2.7,64.0,270.0,2.73,2.84,69.0,270.0,4.8,4.9,3.8,2.6,962.6,961.7,45.0,54.0
2024-03-04 11:00:00+00:00,2.69,2.67,75.0,257.0,2.69,2.83,80.0,256.0,4.7,4.3,3.7,2.6,962.5,961.9,47.0,54.0
2024-03-04 12:00:00+00:00,1.81,1.48,6.0,332.0,1.87,1.4,6.0,335.0,3.1,2.7,3.1,2.6,961.8,962.4,48.0,52.0
2024-03-04 13:00:00+00:00,1.58,1.24,18.0,346.0,2.26,1.52,18.0,345.0,3.1,2.3,2.0,1.3,962.1,962.6,58.0,63.0
2024-03-04 14:00:00+00:00,1.35,0.61,42.0,9.0,2.57,1.21,40.0,14.0,2.7,1.9,0.9,0.5,962.6,962.9,68.0,72.0
2024-03-04 15:00:00+00:00,1.41,0.61,82.0,99.0,2.91,1.43,70.0,74.0,2.5,1.1,-0.2,-0.1,963.0,963.1,74.0,74.0
2024-03-04 16:00:00+00:00,1.51,1.22,98.0,99.0,3.43,2.35,90.0,92.0,2.7,2.1,-0.6,-0.7,963.3,963.4,73.0,75.0
2024-03-04 17:00:00+00:00,1.6,1.81,86.0,96.0,3.92,3.53,91.0,93.0,2.9,3.0,-1.2,-1.4,963.2,963.4,72.0,73.0
2024-03-04 18:00:00+00:00,1.22,1.91,99.0,96.0,2.45,3.72,92.0,92.0,2.1,3.2,-1.9,-2.3,963.1,963.8,75.0,75.0
2024-03-04 19:00:00+00:00,1.6,2.4,94.0,92.0,3.72,5.0,88.0,90.0,3.0,3.9,-2.3,-2.4,963.1,963.8,74.0,75.0
2024-03-04 20:00:00+00:00,2.0,2.81,87.0,86.0,4.9,6.08,89.0,89.0,3.6,4.7,-2.4,-2.2,963.3,963.8,73.0,75.0
2024-03-04 21:00:00+00:00,2.22,3.14,82.0,81.0,5.29,6.47,90.0,88.0,3.9,5.2,-2.5,-2.2,963.2,963.6,73.0,76.0
2024-03-04 22:00:00+00:00,2.43,3.44,81.0,82.0,5.59,6.86,89.0,89.0,4.3,5.7,-2.7,-2.2,962.9,963.4,73.0,75.0
2024-03-04 23:00:00+00:00,2.55,3.63,79.0,82.0,5.98,7.05,89.0,91.0,4.6,5.9,-2.9,-2.1,962.7,963.3,72.0,73.0
2024-03-05 00:00:00+00:00,3.4,3.77,76.0,79.0,7.16,7.25,88.0,89.0,5.8,6.2,-3.1,-2.7,962.5,962.4,68.0,66.0
2024-03-05 01:00:00+00:00,3.61,3.67,76.0,79.0,7.55,7.25,87.0,90.0,6.2,6.2,-3.3,-3.1,962.5,962.5,66.0,69.0
2024-03-05 02:00:00+00:00,3.83,3.77,75.0,79.0,7.95,7.35,87.0,88.0,6.6,6.3,-3.2,-3.0,962.8,962.7,64.0,69.0
2024-03-05 03:00:00+00:00,4.68,4.61,74.0,77.0,8.27,7.56,85.0,86.0,7.8,7.4,-1.4,-1.0,963.3,962.8,58.0,61.0
2024-03-05 04:00:00+00:00,6.39,5.89,73.0,75.0,8.13,7.11,77.0,78.0,10.2,9.2,0.4,0.7,963.1,962.7,53.0,54.0
2024-03-05 05:00:00+00:00,7.16,6.77,75.0,74.0,8.8,8.03,78.0,77.0,11.7,10.7,1.6,1.9,962.9,962.3,48.0,48.0
2024-03-05 06:00:00+00:00,7.26,7.06,78.0,78.0,8.92,8.33,81.0,81.0,12.0,11.4,2.5,3.5,962.3,961.8,43.0,39.0
2024-03-05 07:00:00+00:00,7.2,7.12,80.0,79.0,8.77,8.2,84.0,82.0,12.2,11.6,3.4,4.4,961.9,961.3,41.0,38.0
2024-03-05 08:00:00+00:00,6.76,6.48,82.0,81.0,8.16,7.49,85.0,84.0,12.1,11.4,4.1,5.1,961.3,960.6,39.0,37.0
2024-03-05 09:00:00+00:00,6.34,5.95,84.0,82.0,7.55,6.79,87.0,85.0,11.2,10.4,4.8,5.8,960.6,960.0,37.0,36.0
2024-03-05 10:00:00+00:00,5.81,5.42,86.0,85.0,7.05,6.18,89.0,87.0,10.4,9.6,5.1,6.1,960.1,959.6,37.0,35.0
2024-03-05 11:00:00+00:00,5.5,4.81,88.0,86.0,6.96,5.49,92.0,89.0,9.6,8.6,5.1,5.9,959.6,959.3,39.0,36.0
2024-03-05 12:00:00+00:00,4.41,4.2,86.0,87.0,6.37,6.18,92.0,93.0,8.6,8.5,4.6,5.0,959.0,958.9,44.0,42.0
2024-03-05 13:00:00+00:00,3.18,2.81,77.0,86.0,6.67,6.09,88.0,95.0,7.2,6.9,3.0,3.4,958.8,958.8,52.0,50.0
2024-03-05 14:00:00+00:00,2.89,2.3,76.0,88.0,6.88,5.81,86.0,96.0,5.3,4.7,1.9,2.4,958.7,958.8,58.0,55.0
2024-03-05 15:00:00+00:00,2.77,2.3,77.0,88.0,6.97,5.69,87.0,93.0,5.1,4.1,0.8,1.1,958.4,958.5,63.0,61.0
2024-03-05 16:00:00+00:00,2.79,2.4,75.0,88.0,6.86,5.98,88.0,92.0,5.0,4.3,0.3,0.6,958.0,958.1,63.0,64.0
2024-03-05 17:00:00+00:00,2.79,2.41,75.0,85.0,6.96,6.27,88.0,92.0,5.0,4.5,-0.2,0.0,957.4,957.5,64.0,65.0
2024-03-05 18:00:00+00:00,2.75,3.06,80.0,79.0,6.66,7.35,89.0,92.0,4.9,5.6,-1.1,-0.2,956.4,957.5,68.0,57.0
2024-03-05 19:00:00+00:00,2.86,3.04,78.0,81.0,6.96,7.26,90.0,93.0,5.1,5.5,-1.1,-0.3,956.0,957.1,66.0,57.0
2024-03-05 20:00:00+00:00,2.96,2.96,78.0,78.0,7.15,7.06,90.0,92.0,5.3,5.4,-1.0,-0.6,955.6,956.8,63.0,57.0
2024-03-05 21:00:00+00:00,2.98,2.89,76.0,76.0,7.15,7.05,89.0,90.0,5.3,5.2,-0.9,-0.9,955.2,956.4,61.0,59.0
2024-03-05 22:00:00+00:00,3.08,2.77,77.0,77.0,7.35,6.76,88.0,88.0,5.5,5.4,-0.7,-0.9,954.6,955.9,59.0,59.0
2024-03-05 23:00:00+00:00,2.98,2.77,76.0,77.0,7.25,6.67,88.0,88.0,5.6,5.2,-0.7,-1.0,954.1,955.5,57.0,59.0
